name,gnd,language,source
Abel Clementine,137537719,Deutsch,default
Abele Marie,1192856465,Deutsch,default
Abt Hedwig,1035443260,Deutsch,default
Adele,118605429,Deutsch,default
Adeline,116234695,Deutsch,default
Adelma Elise,123847451,Deutsch,default
Adelmann Helene,1017183406,Deutsch,default
Adelmann Helene,1017183406,Englisch,"die sie selbst in England als Erzieherin durchkosten musste"
Adelmann Helene,1017183406,Französisch,"der Vater, der sie in Musik und fremden Sprachen unterrichtete"
Adelmann Margaretha,1035485036,Deutsch,default
Adelmi Mario,1055113584,Deutsch,default
Adelung Sophie,116007664,Deutsch,default
Adelung Sophie,116007664,Russisch,"»Iugenderinnerungen an Sophie Kowalewska«"
Adler Emma,121730026,Deutsch,default
Adler Helene,11646853X,Deutsch,default
Adler Helene,11646853X,Hebräisch,"Unterbeamten der israelitischen Gemeinde"
Ahlborn Luise,116009764,Deutsch,default
Beaulieu Getraut,11609835X,Deutsch,default
Beaulieu Getraut,11609835X,Französisch,"entstammt einer französischen Emigrantenfamilie"
Beaulieu Getraut,11609835X,Englisch,"Übersetzerin von Korrespondenzen ins Englische für den »Melbourne Argus« in Australien, die »Hour« in London"
Beaulieu Getraut,11609835X,Italienisch,"Schrieb für den »Capitan Fracassa«, Zeitung in Rom"
Beaulieu Getraut,11609835X,Niederländisch,"korrespondiert sie für das »Dagblad van Zuid-Holland en's Gravenhage«"
Thomas Bertha,1211961958,Deutsch,default
Thomas Bertha,1211961958,Englisch,"London 1898, Sampson, Low Marston & Company Ltd."
Thun-Hohenstein Christiane,121927075,Deutsch,default
Thun-Hohenstein Christiane,121927075,Italienisch,"Ihr Märchenbuch »Was die Grossmutter erzählte« wurde ins Italienische übersetzt"
Thurnberg Marie,117764892,Deutsch,default
