Name,GND,Language,Source
Abel Clementine,137537719,Deutsch,.
Abele Marie,1192856465,Deutsch,.
Abt Hedwig,1035443260,Deutsch,"‒ Abseits vom Glück. Rom. 2 Bde. 8. (178 u. 188) Dresden 1894, C. Reissner. n 5.– ‒ Der fünfstöckige Don Iuan. Nov. 8. (71) Ebda. 1895. n 1.– ‒ Eine gute Partie. Rom. a. d. Börsenleben. 8. (160) Nauen 1892, M. Freihof. n 1.– ‒ Ein Weib aus dem Volke. Erzählg. Altenburg 1896, St. Geibel. 2.–; geb. 3.– ‒ Evas Roman. 12. (214) Berlin 1890, A. Goldschmidt. n 1.–"
Abt Hedwig,1035443260,Deutsch,.
Adele ,118605429,Deutsch,.
Adeline ,116234695,Deutsch,.
Adelma Elise,123847451,Deutsch,.
Adelmann Helene,1017183406,Deutsch,"*Adelmann, Frl. Helene, London W., 16 Wyndham Place, Bryanston Square – Ps. Tante Helene, ist am 15. September 1841 zu Offenbach bei Landau in der Rheinpfalz geboren, und obwohl sie nur die Dorfschule besucht hat, erreichte sie nach mancherlei Bildungskämpfen ihr Ziel, eine Lehrerin zu werden. Früh erwachte in ihr eine starke Neigung für naturwissenschaftliche Studien und der Vater, der sie in Musik und fremden Sprachen unterrichtete, stärkte ihren kraftvollen Bildungsdrang. Die bitteren Erfahrungen, die sie selbst in England als Erzieherin durchkosten musste, bewogen sie, sich gegen die schamlose Ausbeutung der deutschen Erzieherinnen durch die Agenten zu wenden. Durch unermüdete Propaganda, in den ihr bekannten Kreisen und unterstützt von einem bedeutenden Organisationstalent gelang es ihr, durch die 14 Mitglieder eines von ihr gegründeten kleinen Lesezirkels einen Verein von 700 Mitgliedern ins Leben zu rufen, welcher sich die Stellenvermittlung zur Aufgabe setzte. Gekrönt wurde ihr edles Bestreben, ihre rastlose, hingebende Thätigkeit, als am 1. Iuli 1879, zwei Iahre nach Gründung des Vereins, das »Daheim« eröffnet werden konnte, in welches sie auf den Wunsch der Generalversammlung 1881 ganz übersiedelte. Zu diesem Obdache deutscher Lehrerinnen in England spendete Kaiserin Augusta 1000 Mk., Kaiser Wilhelm I. 2000 Mk. Nach Iahren schwerer Arbeit und Sorge gingen die gemieteten Häuser auf 21 Iahre in den Besitz des Vereins über. Ein kleines Sanatorium wurde gebaut und vor 4 Iahren ein Ferienund Rekonvalescentenheim auf dem Lande eröffnet, zu dem Kaiser Wilhelm II. 3000 Mk. sandte. Viele deutsche Fürsten, Regierungen und Magistrate senden Iahresbeiträge. 1890 kam sie als Abgesandte ihres Vereins nach Friedrichsroda zum Allgemeinen Deutschen Lehrerinnenverein, der sie in den Vorstand wählte. Sie schrieb in ihr Fach einschlagende Broschüren und Geschichten für ihr Vereinsorgan, auch hie und da kleine naturwissenschaftliche Artikel für englische Blätter."
Adelmann Margaretha,1035485036,Deutsch,"‒ Gedichte, hrsg. v. Karl Schrattenthal. 2. bedeutend verm. Aufl. 12. (VI, 102) Dresden 1889, Pierson. n 1.50 ‒ Gedichte. 12. (224) Leipzig 1844, Brockhaus. n 4.–"
Adelmi Mario,1055113584,Deutsch,"‒ Badenweiler Novellen. 2 Bdchn. Der erste Badegast. Die Wette. 8. (94) Schopfheim 1882, Uehlin. n 1.50 ‒ Badegast. 1. Bdchen der Badenweiler Nov. Gebrüder Knauer, 1883. Frankfurt a/M· n 1.50 ‒ Der Wahnsinnige. Nov. 2. Aufl. 8, (252) Bonn. 1884 Peter Hauptmann. n 3.–"
Adelung Sophie,116007664,Deutsch,"‒ Das graue Fräulein auf Scharfenstein. Hessische Volkssage. Lustsp. 8. (64) Ravensburg 1897, O. Maier. –.80 ‒ Der verzauberte Königssohn. Märchensp. 8. (64) Ebda. 1897. –.80"
Adler Emma,121730026,Deutsch,.
Adler Helene,11646853X,Deutsch,"‒ Beim Kuckuck. Launige zoopoetische Waldgesänge. Gedichte. 8. (196) Frankfurt a. M. 1882, N. Erras, jetzt Gebr. Staudt. n. 1.80 geb. 2.60 ‒ Religion und Moral. Ein Beitrag zur Erziehungsfrage vom Standpunkte der Schopenhauerschen Ethik. 8. (23) Gotha 1882, Stollberg. n –.40 ‒ Vorreden und Bruchstücke. Eine poetische Musterkarte, Gedichte. 8. (126) Frankfurt a. M. 1897. Gebr. Staudt. 1.– ‒ Waisenerziehung. Broschüre. 8. (25) Frankfurt a. M. 1885, N. Erras, jetzt Gebr. Staudt. n. –.50"
Adler Helene,11646853X,Deutsch,.
Adolphine Tante,127627510,Deutsch,"‒ Kochbuch für kleine u. grosse Mädchen zur neuen Weihnachtsküche. 8. (VIII, 58) Chemnitz 1893, B. Richter. kart. n –.80 ‒ Dasselbe. 8. (58) Ebda. 1893. kart. n 1.– ‒ Neue Märchen u. Erzählgn. für jugendliche Leserinnen. br. 8. (288) Leipzig 1846, Brockhaus. n 2.40"
Agnes Tante,116145110,Deutsch,.
Ahlborn Luise,116009764,Deutsch,.
Ahlborn Luise,116009764,Deutsch,.
