,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
0,"Aar, Alexis",Aar Alexis,Aar,Alexis,.
1,"Aarau, Friedrich",Aarau Friedrich,Aarau,Friedrich,.
2,"Abbot, Karoline L",Abbot Karoline,Abbot,Karoline L,28. Septbr. 1839
3,"Abeken, Bernhard",Abeken Bernhard,Abeken,Bernhard, Juli 1870
4,"Abel, Clementine",Abel Clementine,Abel,Clementine,15. Januar 1826
5,"Abel, Hans Karl",Abel Hans Karl,Abel,Hans Karl,8. August 1876
6,"Abels, Ludwig",Abels Ludwig,Abels,Ludwig,16. März1867
7,"Abraham-Rieve, Katharina",Abraham-Rieve Katharina,Abraham-Rieve,Katharina,17. Mai 1844
8,"Abramczyk, Roland",Abramczyk Roland,Abramczyk,Roland,27. Januar 1880
9,"d’Abrest, Paul",d’Abrest Paul,d’Abrest,Paul,Januar 1850
10,"Abt, Anton",Abt Anton,Abt,Anton, Dezember 1864
11,"Abt, Hedwig",Abt Hedwig,Abt,Hedwig,20. Septbr.1856
12,"Achilles, Wilhelm",Achilles Wilhelm,Achilles,Wilhelm,5.Nov. 1862
13,"Achleitner, Arthur",Achleitner Arthur,Achleitner,Arthur,16. Aug. 1858
14,"Achleitner, Joseph",Achleitner Joseph,Achleitner,Joseph,30.Novbr. 1872
15,"Achleitner, Karl",Achleitner Karl,Achleitner,Karl,.
16,"Aeckerle, Helene",Aeckerle Helene,Aeckerle,Helene,12. Jan.1875
17,"Ackermann, Ernst Wilhelm",Ackermann Ernst Wilhelm,Ackermann,Ernst Wilhelm,14. Oktbr. 1821
18,"Adam, Ernst",Adam Ernst,Adam,Ernst,.
19,"Adam, Otto",Adam Otto,Adam,Otto,19. Novbr.1864
20,"Adami, Friedrich",Adami Friedrich,Adami,Friedrich,5. August1893
21,"Adamus, Franz",Adamus Franz,Adamus,Franz,.
22,Adelaide Marie,Adelaide Marie,Adelaide Marie,,.
23,"Adelbert, Karl",Adelbert Karl,Adelbert,Karl,.
24,"Adelmann von Adelmannsfelden, Alfred Graf",Adelmann von Adelmannsfelden Alfred,Adelmann von Adelmannsfelden,Alfred,4.Juli 1848
25,"Adelmann, Margareta",Adelmann Margareta,Adelmann,Margareta,3. Novbr. 1811
