QUOTE_TRANSCRIPTION,URI,VOCAB_LABEL
Aarau,http://dare.ht.lu.se/places/19862,Aarau|Aarau
Ber- lin,http://sws.geonames.org/4348460,Berlin
Berlin,http://sws.geonames.org/2950157,Berlin
Bern,http://sws.geonames.org/2661551,Bern
Braunschweig,http://sws.geonames.org/2945024,Braunschweig
Heidel,http://sws.geonames.org/2907911,Heidelberg I|Heidelberg III|Heidelberg II|Pfaffengrund|Heidelberg
Bonn,http://sws.geonames.org/2946447,"Bonna|Bonna, Bonn|Bonn"
Leipzig,http://sws.geonames.org/2879139,Leipzig
Bärenthal,http://sws.geonames.org/2952692,Bärenthal
Hessen,http://sws.geonames.org/2905330,Hesse
Metzeral,http://sws.geonames.org/2994157,Metzeral
Urbeis,http://geo-kima.org/place/15810,Orbey (France)
Rixheim,http://sws.geonames.org/2983369,Rixheim
Kol- mar,http://sws.geonames.org/3024297,Colmar
Schlettstadt,http://sws.geonames.org/2975233,Sélestat
München,http://histogis.acdh.oeaw.ac.at/shapes/permalink/cf543898e95f037d26ada63287bdb582/,München
Straßburg,http://sws.geonames.org/2764186,Straßburg
Elsaß,http://sws.geonames.org/11071622,Grand Est
Elsaß,,
Wien,http://sws.geonames.org/2761367,Vienna
Steinwand,,
Steinwand- klamm,,
Pernitz,http://sws.geonames.org/2769068,Pernitz
Eiderstedt,http://geo-kima.org/place/11000,Eiderstedt (Germany)
Garding,http://sws.geonames.org/2922571,Garding
Lübeck,http://sws.geonames.org/2875601,Lübeck
Treuen,http://sws.geonames.org/2821251,Treuen
Warschau,http://sws.geonames.org/756135,Warsaw
Oranienburg,http://sws.geonames.org/2857129,Oranienburg
Prag,http://sws.geonames.org/3067696,Prague
Paris,http://sws.geonames.org/2988507,"Oppidum, Paris|Thermes de l'Est, Paris|Arènes de Paris|Lutetia|Lutetia/Parisius, Paris|Thermes de Cluny, Paris|Paris"
Vöslau,http://sws.geonames.org/2782043,Bad Vöslau
Seelenberg,,
Taunus,http://pleiades.stoa.org/places/109367,"Taunus M.|Taunus Mons, Taunus"
Langenschwalbach,http://geo-kima.org/place/17787,Bad Schwalbach (Germany)
Ha- damar,http://sws.geonames.org/2912829,Hadamar
Mainz,http://sws.geonames.org/2874225,"Unnamed Roman bridge at Mainz|Untitled|Römersteine, Mainz|Mogontiacum|Mogontiacum, Mainz|Römisches Theater, Mainz|Sanctuary of Isis and Magna Mater|Heiligtum der Isis und Mater Magna, Mainz|Römerbrücke, Mainz|Drususstein, Mainz|Mainz"
Limburg,http://sws.geonames.org/2751596,Limburg
Hadamar,http://sws.geonames.org/2912829,Hadamar
Montabaur,http://sws.geonames.org/2869746,Montabaur
Oberlahnstein,http://geo-kima.org/place/17800,"Oberlahnstein (Lahnstein, Germany)"
Bukarest,http://sws.geonames.org/683506,Bucharest
Nymphenburg,http://geo-kima.org/place/16165,"Nymphenburg (Munich, Germany)"
Frankfurt a. M.,http://geo-kima.org/place/422,Frankfurt am Main (Germany)
Königstein,http://sws.geonames.org/2885760,Königstein im Taunus
Deutschlands,,
Rhein,http://sws.geonames.org/759839,Ryn
Lehesten,http://sws.geonames.org/2879543,Lehesten
Sachsen,http://histogis.acdh.oeaw.ac.at/shapes/permalink/973f65fa49b9036b76bbd9311e899a98/,Sachsen
Meiningen,http://sws.geonames.org/2872225,Meiningen
Va,http://geo-kima.org/place/20513,Chahār Maḥāll va Bakhtiyārī (Iran)
Straubing,http://sws.geonames.org/2826099,"Sorviodurum|Sorviodurum, Straubing|Straubing"
Salzburgs,http://sws.geonames.org/2766823,Salzburg
München,http://sws.geonames.org/2867714,Munich
Bayerns,,
Tirols,,
Steiermark,http://geo-kima.org/place/6993,Styria (Austria)
Tirol,http://pleiades.stoa.org/places/187590,Tirol|Tirolo
Vorarlberg,http://sws.geonames.org/2762300,Vorarlberg
Schwarzwald,http://geo-kima.org/place/1853,Black Forest (Germany)
Salzburg,http://sws.geonames.org/2766823,Salzburg
Vorderberg,,
Eßlin,,
Bayern,http://histogis.acdh.oeaw.ac.at/shapes/permalink/d28428f18da74dfc6bb1cc1e033bed68/,Bayern
Österreich,http://histogis.acdh.oeaw.ac.at/shapes/permalink/eae80ff1a7c90d9c48caf344648f3447/,Österreich
Allgäu,http://sws.geonames.org/2896261,Immenstadt im Allgäu
Tegernsee,http://geo-kima.org/place/12246,Tegernsee (Germany)
Badlhofe zu Zell,http://sws.geonames.org/2760636,Zell am Moos
Oberösterreich,http://sws.geonames.org/2769848,Upper Austria
Salz- burg,http://sws.geonames.org/2766823,Salzburg
burg,http://sws.geonames.org/2941497,Burg
Stranzendorf,http://sws.geonames.org/2764621,Statzendorf
Weinland Niederösterreichs,,
Haslach,http://sws.geonames.org/2909544,Haslach
Braunau,http://geo-kima.org/place/12787,Braunau am Inn (Austria)
Jnnviertel,,
Senftenbach,,
