identifier,original,surname_y,prename_y,Zusatz,alternative_names_y,place_of_birth,place_of_death,date_of_birth,date_of_death,biography,bibliography,alternative_names,alternative_biography,alternative_bibliography,wohnort_1,wohnort_2,wohnort_3,wohnort_4,wohnort_5,wohnort_6,wohnort_7,wohnort_8,wohnort_9,wohnort_10,wohnort_11,wohnort_12,wohnort_13,wohnort_14,wohnort_15,wohnort_16,wohnort_17,wohnort_18,Sprache,Sprache_2,Sprache_3,Sprache_4,Sprache_5,Sprache_6,Sprache_7,Sprache_8
137537719,Abel Clementine,Abel,Clementine,,,,,1826,1905,"Abel, Frau Clementine, geb. Hofmeister, Ps. Clelie Betemann. Leipzig, Langestr. 8, geboren am 15. Januar 1826 in Leipzig, ist bekannt durch ihre Jugendschriften und Erzählungen, wie auch als Dichterin und Feuilletonistin. Werke: s. Clelie Betemann.",,Betemann Clelie,Biographie s. Clementine Abel.,"‒ An der Mutter Hand. Leipzig 1883, Abel & M. – Vergriffen. – ‒ Meine Sonntage. Rückblicke und Erinnerungen. Erzählg. 8. (244) Ebda. 1882. geb. n 4.– ‒ Sprüche, Strophen und Stimmungsbilder. Lyrisches u. Didaktisches. 8. (139) Ebda. 1889. geb. 3.–",Leipzig,,,,,,,,,,,,,,,,,,,,,,,,,
1035443260,Abt Hedwig,Abt,Hedwig,,,Lehesten (Thür Wald),,1856,,"Abt, Frl. Hedwig, Berlin W., Göbenstr. 25/26, geb. in Lehesten den 20. September 1856.","‒ Abseits vom Glück. Rom. 2 Bde. 8. (178 u. 188) Dresden 1894, C. Reissner. n 5.– ‒ Der fünfstöckige Don Juan. Nov. 8. (71) Ebda. 1895. n 1.– ‒ Eine gute Partie. Rom. a. d. Börsenleben. 8. (160) Nauen 1892, M. Freihof. n 1.– ‒ Ein Weib aus dem Volke. Erzählg. Altenburg 1896, St. Geibel. 2.–geb. 3.– ‒ Evas Roman. 12. (214) Berlin 1890, A. Goldschmidt. n 1.–",Abt Hedwig,"Ein Weib aus dem Volke. Erzählg. 8. (180) Altenburg 1897, St. Geibel. 2.–geb. 3.– Siehe auch Band I.",,Lehesten,Berlin,Altenburg,,,,,,,,,,,,,,,,,,,,,,,
119233444,Adelaide Marie,Adelaide,Marie,,,,,1868,1947,"Adelaide, Marie, Biographie u. Werke s. Adelaide Marie Iwersen. Band I.",,Marie Adelaide,Biographie s. Adelaide Marie Iwersen.,,,,,,,,,,,,,,,,,,,,,,,,,,,
11646853X,Adler Helene,Adler,Helene,,,,,1849,1922,"Adler, Frl. Helene, Frankfurt a. M., Scheidswaldstr. 30, wurde am 5. Dezember 1849 zu Frankfurt a. M., an klassischer Stätte, im Geburtshause Börnes geboren, dem Eigentum ihres Vaters, eines Unterbeamten der israelitischen Gemeinde. Bis Ostern 1865 besuchte sie die sogenannte »Philantropine« einschliesslich deren Selekta, bestand zwei Jahre darauf in Wiesbaden das Lehrerinnenexamen für höhere Töchterschulen und erteilte dann bis zur Auflösung der Anstalt fünfzehn Jahre hindurch den Elementarunterricht an der Waisenschule des israelitischen Frauenvereins zu Frankfurt. Seit dieser Zeit (1882) hält sie sich in Rücksicht auf ihre Gesundheit von jeder Lehrthätigkeit fern und lebt gänzlich ihren litterarischen Neigungen in ihrer Vaterstadt.","‒ Beim Kuckuck. Launige zoopoetische Waldgesänge. Gedichte. 8. (196) Frankfurt a. M. 1882, N. Erras, jetzt Gebr. Staudt. n. 1.80 geb. 2.60 ‒ Religion und Moral. Ein Beitrag zur Erziehungsfrage vom Standpunkte der Schopenhauerschen Ethik. 8. (23) Gotha 1882, Stollberg. n –.40 ‒ Vorreden und Bruchstücke. Eine poetische Musterkarte, Gedichte. 8. (126) Frankfurt a. M. 1897. Gebr. Staudt. 1.– ‒ Waisenerziehung. Broschüre. 8. (25) Frankfurt a. M. 1885, N. Erras, jetzt Gebr. Staudt. n. –.50",Adler Helene,"»Fridde uff Erde!« Ääne Gardinepreddigt v. Settche Hampelmann, Borgersfrää in Frankfort am määan. Die 6 Grossmächt in ohrjendalisch-ochsidendalische Ungelegenheite. 8. (15) Frankfurt a. M. 1897, Gebr. Staudt. –.30 Siehe auch Band I.",,Frankfurt a. M.,Wiesbaden,Frankfurt a. M.,,,,,,,,,,,,,,,,,,,,,,,
116009764,Ahlborn Luise,Ahlborn,Luise,,,,,1834-03-14,1921-07-30,"Ahlborn, Luise, Biographie u. Werke s. L. Haidheim.",,Ahlborn Luise,"geb. Jaeger, Ps. L. Haidheim, Hannover, geboren den 14. Mai 1834 zu Melle in Osnabrück als Tochter eines Justizbeamten, wurde von ihrem talentvollen Vater und von Hauslehrern unterrichtet. Schon als Kind fühlte Luise einen unwiderstehlichen Drang zum Dichten und Fabulieren, aber erst in den reiferen Iahren entstanden ihre grösseren Romane. Im Iahre 1855 vermählte sie sich mit dem Gutsbesitzer und Oberamtmann Ahlborn, welcher jedoch bald starb. Als Witwe siedelte sie nach Hannover über. Werke s. L. Haidheim. Band I.",,Melle,Rom,Hannover,Osnabrück,Rom,,,,,,,,,,,,,,,,,,,,,
116279028,Alberti Sophie,Alberti,Sophie,,,Potsdam,Potsdam,1826-08-05,1892-08-15,"Alberti, Sophie, geb. Mödinger, Ps. Sophie Verena, geboren am 5. August 1826 zu Potsdam, gestorben am 15. August 1892 in ihrer Geburtsstadt. Werke s. Sophie Verena. Band II.",,,,,Potsdam,,,,,,,,,,,,,,,,,,,,,,,,,
101046588,Alexandra Amalia,Alexandra,Amalia,,,Aschaffenburg,München,1826-08-26,1875-05-08,"Alexandra, Amalia, Prinzessin von Bayern, geboren am 26. August 1826 in Aschaffenburg, gestorben den 8. Mai 1875 in München. Werke s. Band I. Unter diesen ist: »Verträumte Stunden« zu streichen.",‒ Feldblumen. Erzählg. 1856. ‒ Weihnachtsrosen. Erzählg. 1858.,Alexandra Amalie,"Bayern, Alexandra Amalie, Prinzessin von, geboren den 26. August 1826 zu Aschaffenburg, gestorben den 8. Mai 1875 in München.",‒ Feldblumen. Erzählg. 1856. ‒ Weihnachtsrosen. Erzählg. 1858.,Aschaffenburg,München,Aschaffenburg,München,,,,,,,,,,,,,,,,,,,,,,
116226099,Alice Tante,,Alice,Tante,,Jelgava,Dorpat,1840-11-28,1923-10-10,"Alice, Tante, Biographie s. M. v. Boettcher.","‒ Im Morgensonnenschein. Erinnerungen aus frohen Kindertagen. 1887. ‒ Kleine Schelme. Lustige Geschichten aus dem Familienleben der Baltischen Lande, 1884.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076742890,Allan George,Allan,George,,,Greifswald,Berlin,1852-01-04,1916-07-18,"Allan, George, Biographie und Werke s. Mite Kremnitz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117761249,Allesch Elly,Allesch,Elly,,,Bernburg (Saale),Goslar,1853-07-01,1944-04-03,"Allesch, Frau Elly, geb. Reuss, Ps. E. Relly, Goslar a. H., Rammelsbergerstrasse 6, wurde am 1. Juli 1853 in Bernburg a. d. Saale als fünftes Kind des Anhaltischen Forstund Regierungsrats L. Reuss und seiner Gattin Karoline, geb. Brocke geboren. Ihr Talent zeigte sich sehr früh. Sie erdachte Verse und Geschichten, sobald sie denken konnte und schrieb sie nieder, sobald sie schreiben gelerntfür den Druck zu arbeiten begann sie aber erst im Jahre 1875, nachdem die Familie nach dem Städtchen Dobřisch in Böhmen übergesiedelt war. Häufig weilte sie in Prag, und es war besonders die Familie des bekannten Schriftstellers und Botanikers Dr. M. Willkomm, in der sie fördernde geistige Anregung fand. Im Jahre 1881 verheiratete sich Elly Reuss mit dem Baumeister I. Allesch in Dobřisch und liess die Feder rosten, um ganz ihrem Familienglück zu leben. Nach fünfzehn Jahren jedoch wurde dieses durch ein schweres Geschick zerstört. Elly Reuss' Gatte musste wegen einer unheilbaren Kopfkrankheit einer Anstalt übergeben werden, und sie selbst zog mit ihren drei Kindern im Herbst 1896 nach der schönen Harzstadt Goslar. Werke s. E. Relly und E. Reuss.",,Reuss Elly,Biographie s. E. Allesch. Werke s. auch E. Relly.,"‒ Erreichte Ziele. Familien-Rom. 2 Bde. Neue Ausg. (263 u. 238) Wolfenbüttel 1887, I. Zwissler. geb. n 1.–",Bern,Prag,Dobřisch,Forst,Goslar,Bernburg a. d. Saale,,,,,,,,,,,,,,,,,,,,
