Oehringen,2857565
Hameln,2911271
Lobendau,3071657
Walheim,2814747
Belzig,6550639
Blankenburg a. H,NaN
Hanau,2911007
Traunstein,2821515
Grossheppach,2915521
Greiz,2917737
Kissingen,2953424
Strada,6534253
Steinau,2828871
Ippesheim,2895870
Friedenau,2924770
Grobin,459692
Saalau,2842719
Adelsheim,2959508
Castasegna,2661255
Hagen,2090409
Überlingen,2820577
Schleissheim,2765906
Obertürkheim,6948510
Eydtkuhnen,568533
Dierhagen,6548110
Boxhagen,12689698
Demmin,2938284
Chudowa,NaN
Schlüchtern,2838201
Bad Berg,2900944
Godesberg am Rhein,NaN
Nordhausen,2861982
Bad Nauheim,2953395
Fredrikstad,3156529
Biebrich am Rhein,NaN
Döbeln,2936658
Sand,2207183
Bern,2661552
Clausthal,2939995
Baltimore,4347778
Roda,5224151
Brannenberg,NaN
Pasewalk,2855337
Siegburg,2832521
Meldorf,2872100
Mainstockheim,2874231
Bolkenhain,3102969
Steyr,2764359
Roveredo,3168858
Lichtenthal,2878026
Jerusalem,281184
Gütersloh,2913366
Schloss Syrgenstein,NaN
Burgdorf,2661321
Mainz,2874225
Reval,588409
Strehlen,3084404
Neuhaus,2865133
Lindau,2877550
Böblingen,2947444
Wusterhausen,2885732
Gross-Werkau,NaN
Malmö,2692969
Vöslau,2782043
Lindenau,2877425
Hill,934765
Insterburg,568595
Immelborn,2896299
Merseburg,2871736
Königswinter,2885734
Königsberg,2885916
Heinrichsdorf,3091785
Klitschdorf,3096112
Siegen,2832495
Perchtoldsdorf,2769110
Mödling,2771335
Adenau,2959489
Gimmel,5705971
Goldap,771953
Lochkow,NaN
Triebschen,NaN
Lauterburg,3005948
Vechelde,6552397
Ancona,3183089
Loschwitz,2875846
Friedrichroda,2924656
Langendorf,6691324
Keingtthal,NaN
Marienthal,2960294
Barmen,3357087
Tharand i. S.,NaN
Flurstedt,6550235
Schloss Stetten,11836291
Bogenhausen,2947022
Grimma,2917325
Cimiés,NaN
Puszta Zdenci,NaN
Barchfeld,2952834
Virchow,6627588
Schlawe,3085610
Warburg,11807301
Sao Paulo,3448439
Bremgarten,2661407
Thumitz,6548606
Gries,3175823
Teplitz,3064288
Ohlau,3090204
Kirchheim u. Teck,NaN
Pest,3046431
Brackel,6552623
Altenessen,2957704
Borås,2720501
Düsseldorf,2934246
Eschwege,2928967
Essegg,3193935
Halle a. S.,9443239
Iglau,3074199
Pinnow,6551179
Rottenburg a. N.,NaN
Diez a. d. Lahn,NaN
Schloss Barottwitz,NaN
Plauen,2853292
Töplitz,3188380
Boppard,6557881
Ravensburg,2849802
Reisewitz,NaN
Schorndorf,2836320
Berka,2953548
Koburg,607279
Frankfurt a. M.,11974060
Meersburg,2872486
Neuruppin,2864276
