Personenname,Sprache,Sprachnutzung,Beleg,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"Brandis, Frau Marie",Englisch,Übersetzungen,"schreibt Übersetzungen aus dem Englischen, welche in der »Weser-Zeitung« und anderwärts erschienen",,,,,,,,,
"Brewitz, Frau Elise",Französisch,Unterricht,später im Französischen und Englischen in Altona,,,,,,,,,
"Brewitz, Frau Elise",Englisch,Unterricht,später im Französischen und Englischen in Altona,,,,,,,,,
"Bülow, Paula von",Englisch,Dichtung,Songs and Poems. Gedichte. Band II erschien in englischer Sprache,,,,,,,,,
"Carmer, Gräfin Dorothea",Englisch,Übersetzungen,Unser armer Dick. Übers. d. John Strange Winter,,,,,,,,,
"Claussen, Frl. Anna Auguste Henriette",Französisch,Unterricht,später im Französischen und Englischen in Altona,,,,,,,,,
"Claussen, Frl. Anna Auguste Henriette",Englisch,Unterricht,später im Französischen und Englischen in Altona,,,,,,,,,
"Cornelius, Auguste",Französisch,Übersetzungen,wirkte auch als Übersetzerin aus dem Französischen und Englischen,,,,,,,,,
"Cornelius, Auguste",Englisch,Übersetzungen,wirkte auch als Übersetzerin aus dem Französischen und Englischen,,,,,,,,,
"Daniel, Auguste",Englisch,Übersetzungen,Aus dem Engl. d. Hesba Stretton,,,,,,,,,
"Decken, Agnes v.",Skandinavische Sprachen,Übersetzungen,Übersetzgn. aus den skandinavischen Sprachen,,,,,,,,,
"Drachmann, Emmy",Norwegisch,Übersetzungen,Autoris. Übersetzg. aus d. Norweg. d. Amalie Skram,,,,,,,,,
"Dulk, Anna",Italienisch,Übersetzungen,Autoris. Übers. aus d. Ital. d. Mathilde Serão,,,,,,,,,
"Ebers, Agnes",Englisch,Übersetzungen,Übers. d. Hesba Stretton,,,,,,,,,
"Eken, Frl. Anna von den",Holländisch,Übersetzungen,übersetzt aus dem Holländischen,,,,,,,,,
"Emmerich, Emma",Englisch,Übersetzungen,Das Buch e. Frau f. die Frauen von Mrs. E. B. Duffey. Übersetzg.,,,,,,,,,
