gnd,werk
1035443260,"Abseits vom Glück. Rom. 2 Bde. 8. (178 u. 188) Dresden 1894, C. Reissner. n 5."
1035443260,Der fünfstöckige Don Iuan. Nov. 8. (71) Ebda. 1895. n 1.
1035443260,"Eine gute Partie. Rom. a. d. Börsenleben. 8. (160) Nauen 1892, M. Freihof. n 1."
1035443260,"Ein Weib aus dem Volke. Erzählg. Altenburg 1896, St. Geibel. 2.; geb. 3."
1035443260,"Evas Roman. 12. (214) Berlin 1890, A. Goldschmidt. n 1."
1017183406,"Aus meiner Kinderzeit. 8 (VI, 146) Berlin 1892, L. Oehmigkes Verl. n. 1.80, geb. n 2.50"
1017183406,"Märchen. Speier, Kleeberger.  Vergriffen. "
1017183406,"Ratschläge für deutsche Erzieherinnen in England. 8. (22) Berlin 1897, W. Moeser. .40"
1035485036,"Gedichte, hrsg. v. Karl Schrattenthal. 2. bedeutend verm. Aufl. 12. (VI, 102) Dresden 1889, Pierson. n 1.50"
1035485036,"Gedichte. 12. (224) Leipzig 1844, Brockhaus. n 4."
1055113584,"Badenweiler Novellen. 2 Bdchn. Der erste Badegast. Die Wette. 8. (94) Schopfheim 1882, Uehlin. n 1.50"
1055113584,"Badegast. 1. Bdchen der Badenweiler Nov. Gebrüder Knauer, 1883. Frankfurt a/M· n 1.50"
1055113584,"Der Wahnsinnige. Nov. 2. Aufl. 8, (252) Bonn. 1884 Peter Hauptmann. n 3."
116007664,"Das graue Fräulein auf Scharfenstein. Hessische Volkssage. Lustsp. 8. (64) Ravensburg 1897, O. Maier. .80"
116007664,Der verzauberte Königssohn. Märchensp. 8. (64) Ebda. 1897. .80
11646853X,"Beim Kuckuck. Launige zoopoetische Waldgesänge. Gedichte. 8. (196) Frankfurt a. M. 1882, N. Erras, jetzt Gebr. Staudt. n. 1.80 geb. 2.60"
11646853X,"Religion und Moral. Ein Beitrag zur Erziehungsfrage vom Standpunkte der Schopenhauerschen Ethik. 8. (23) Gotha 1882, Stollberg. n .40"
11646853X,"Vorreden und Bruchstücke. Eine poetische Musterkarte, Gedichte. 8. (126) Frankfurt a. M. 1897. Gebr. Staudt. 1."
11646853X,"Waisenerziehung. Broschüre. 8. (25) Frankfurt a. M. 1885, N. Erras, jetzt Gebr. Staudt. n. .50"
127627510,"Das goldene Buch der Frau. Ein Freund u. Berater in allen Verhältnissen des Lebens. 8. (180) Chemnitz 1894, B. Richters Verl. geb. in Leinw. 3."
127627510,"Der deutschen Iugend frohe Stunden. Märchen, Lieder u. Geschichten f. Knaben u. Mädchen. 8. (162 m. e. Farbendr.) Borna, 1890, Leipzig, A. Iahnke geb. 3."
127627510,"Die deutsche Frau in Küche und Keller. Kochbuch. 8. (367) Chemnitz 1892, B. Richter. geb. n 4., auch in 10 Lfgn. à .30"
127627510,"Die Feldküche nach neuer Reform. Ein Handbuch f. den deutschen Soldaten im Quartier, Bivouac u. Felde, sowie f. Garçons, Touristen u. Iäger. 8 (157) Berlin 1884, Stahn. In Leinw. kart. n 2."
127627510,"Mutterpflicht u. Kindespflege. Weihegeschenk aus Mutterhand f. Deutschlands Frauen u. Bräute. 8. (168) Berlin, Chemnitz 1882, B. Richter, geb. in Leinw. n 3."
127627510,"Wie wird sie ihn finden? Rom. aus der Neuzeit, e. Begebenheit nacherzählt. 8. (252) Chemnitz 1895, Ebda. 3., geb. n 4."
155409921,"Die Braut der Rebellen. Rom. aus dem Ital. 16. (344) Waldsee 1879, Liebel in Comm. bar 1."
155409921,Im Irrenhaus begraben. (1887) 2. Aufl. 1890.
155409921,"Rächet euch nicht. Schausp. 8. (84) Stuttgart 1881, Greiner & Pfeiffer."
118729993,"Lose Blüten. Kleine Bilder aus der grossen Welt. Neue (Titel-) Aufl. 16. (III, 96) Hamburg, Nestler & Melle (jetzt W. Otto, Hannover). n 2., herabgesetzter Pr. .60"
118729993,"Harte Gesetze. 8. (IV, 448) Stuttgart 1875, Metzler (jetzt W. Otto, Hannover). n 5., herabgesetzter Pr. 1.50"
116226099,Im Morgensonnenschein. Erinnerungen aus frohen Kindertagen. 1887.
116226099,"Kleine Schelme. Lustige Geschichten aus dem Familienleben der Baltischen Lande, 1884."
