gnd,surname,prename,name_complete,place_of_birth,place_of_death,date_of_birth,date_of_death,alternative_1,biography_alternative_1,bibliography_alternative_1,alternative_2,biography_alternative_2,bibliography_alternative_2,alternative_3,biography_alternative_3,bibliography__alternative_3,alternative_4,biography_alternative_4,bibliography_alternative_4,alternative_5,biography__alternative_5,bibliography_alternative_5
116000139,Aachen,Maria Johanna Katharina Erika Elisabeth von,Aachen Maria Elisabeth Johanna Erika Katharina,.,.,1755-04-21,1845-01-21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
137537719,Abel,Frau Clementine,Abel Clementine,.,.,1826,1905,Betemann Clelie,Biographie s. Clementine Abel.,"‒ An der Mutter Hand. Leipzig 1883, Abel & M. – Vergriffen. – ‒ Meine Sonntage. Rückblicke und Erinnerungen. Erzählg. 8. (244) Ebda. 1882. geb. n 4.– ‒ Sprüche, Strophen und Stimmungsbilder. Lyrisches u. Didaktisches. 8. (139) Ebda. 1889. geb. 3.–",.,.,.,.,.,.,.,.,.,.,.,.
1192856465,Abele,Marie,Abele Marie,Schorndorf (Rems-Murr-Kreis),Sulz am Neckar,1784-12-15,1841-08-03,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1058458868,Abraham-Rieve,Frau Catharina,Abraham-Rieve Catharina,Eiderstedt,.,1844-05-17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1035443260,Abt,Frl. Hedwig,Abt Hedwig,Lehesten (Thür. Wald),.,1856,.,Abt Hedwig,"Ein Weib aus dem Volke. Erzählg. 8. (180) Altenburg 1897, St. Geibel. 2.–; geb. 3.– Siehe auch Band I.",.,.,.,.,.,.,.,.,.,.,.,.,.
119233444,Adelaide,Marie,Adelaide Marie,.,.,1868,1947,Marie Adelaide,Biographie s. Adelaide Marie Iwersen.,.,.,.,.,.,.,.,.,.,.,.,.,.
118605429,Adele,.,Adele,Rotterdam,Berlin,1863-08-19,1937-08-30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116234695,Adeline,.,Adeline,.,.,1859,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
123847451,Adelma,Elise,Adelma Elise,.,.,1840,1925,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1017183406,Adelmann,Frl. Helene,Adelmann Helene,.,.,1841,1915,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1035485036,Adelmann,Margaretha,Adelmann Margaretha,.,.,1811,1887,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
