name,gnd,gender,biography,bibliography
Guźkowski Elisabeth,1227624891,female,"Guźkowski, Elisabeth.","‒ Gedichte. 16. (134) Berlin 1869, Ebeling & Plahn. n 3.–; geb. n 4.–"
Strachwitz Martha,1228090130,female,"Strachwitz, Martha. Gedichte. 8. (176) Breslau 1897, G. P. Aderholz Buchhandlg. 2.–; geb. 2.50",.
Hohenthal Ida,1228156980,female,"Hohenthal, Gräfin Ida. Drei Märchen. 8. (480) Dresden, E. Pierson. 1.–",.
Alberti Friederike,1228555303,female,"Alberti, Friederike, s. Franziska Abel. Nachtrag.",.
Martin Henriette,1229369988,female,"Martin, Henriette, geb. Biedermann. Taschenbuch für Mädchen u. angehende Hausfrauen. Unterweisg. zur Einrichtg. u. Führg. des Haushaltes. 8. (198) Leipzig 1847, Brauns. 1.50",.
Matthys Emma,1229401725,female,"Matthys, Emma, geboren am 16. August 1844 zu Bern, gestorben am 7. Iuli 1890 ebendaselbst.",‒ Berndeutsche Verschen und Lieder f. Kinder. 7. Aufl. 12. (332 m. Abbildgn.) Bern 1895. Nydegger & Baumgart. 2.50; geb. nn 3.50 ‒ Gesammelte Gedichte. 16. (271 m. Bildnis) Ebda. 1891. n 3.–; geb. 4.–; m. Goldschn. 4.50
Richter Marie,1229701257,female,"*Richter, Frl. Marie, Köslin, Rogzower-Allee 41, geboren am 12. November 1855 in Seehof, Kreis Schlawe, Regierungsbezirk Köslin,","‒ Gedichte. 8 (68) Dresden 1897, E. Pierson. n 1.50; geb. n 2.50 ‒ Prosa u. Verse. Gedichte. 12. (72) Ebda. 1898. n 1.–; geb. n 2.–"
Römer Auguste,1230144668,female,"Römer, Auguste von. Biographie s. A. de la Chevallerie.","‒ Das Christkind. Eine kleine Aufführg. f. Kinder zum Christfest. 8. (14) Leipzig 1885, Siegismund & Volkening. n –.40; Ausg. f. Zuhörer, 12 Stück n 1.50 ‒ Wellen u. Wogen. Gedichte. 8. (211) Leipzig 1869, Matthes. 2.25; geb. n 3.–"
Kärcher Amalie,1231579536,female,"Kärcher, Amalie. Früchte. Studien. 1. u. 2. Lieferng. 4. (à 4 Chromolith.) Leipzig 1887, Baldamus ' Sep.-Cto. à n 4.–; einzelne Blätter bar à 1.50",.
Hoyer Elise,1232329355,female,"Hoyer, Elise, geboren den 22. Mai 1852 zu Elbogen. Sie schrieb 1873 »Die ersten Lieder eines armen Mädchen«, 1874 »Ostergrüsse« und »Weihnachtsträume« und lebte zuletzt in Wien.",‒ Die ersten Lieder eines armen Mädchen. 1873. ‒ Ostergrüsse. Gedichte. 1874. ‒ Weihnachtsträume. Gedichte. 1874.
Branco Helena Dilia,1234931001,female,"Branco, Dilia Helena, geb. Rödlich s. Dilia Helena.",.
Dilia Helena,1234931001,female,"Dilia Helena, s. Helene Branco.","‒ Gedichte. (Mit verziert. Anfangs-Buchstaben u. Titelvign.) 8. (96) Berlin 1841, Schlesinger. 1.50 ‒ Lieder 4. Ausg. 16. (184) Berlin 1869, Nicolais Verlag. geb. n 3.– ‒ Neuere Lieder. 8. (55) Ebda. 1849. 1.50"
Helena Dilia,1234931001,female,"Helena, Dilia, s. Helene Dilia Branco. Werke s. Helena Dilia.",.
Kieslinger Emilie,1236507029,female,"□Kieslinger, Emilie, Wien XI., Lackierergasse 1 a III., geboren am 27. März 1866 in Miesbach in Bayern. (Die beiden letzten Bücher zusammen auch in 14 Heften à –.15.)","‒ Die Einsiedekunst. 2. Aufl. 8. (165) Wien 1896, C. Daberkow. 1.75 ‒ Hundertachtzig Haus-Konditorei-Rezepte. 2. Aufl. 8. (67) München 1897, Seitz & Schauer. n –.60; geb. n 1.– ‒ Süddeutsche Familienküche. Geprüfte Rezepte für eine gute Hausmannskost. 8. (254) Ebds. 1897. geb. 2.– ‒ Kinderkochbuch. U. d. Presse."
