gnd,wohnort_1,wohnort_2,wohnort_3,wohnort_4,wohnort_5,wohnort_6,wohnort_7,wohnort_8,wohnort_9,wohnort_10,wohnort_11,wohnort_12,wohnort_13,wohnort_14,wohnort_15,wohnort_16,wohnort_17,wohnort_18
100321402,Lausanne,Polier le Grand,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
100799558,Kaiserslautern,Rom,Rom,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
100804195,Göttingen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
100844979,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101046588,Aschaffenburg,München,Aschaffenburg,München,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101077025,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101133928,Wien,Brüssel,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101140525,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101140576,Marburg,Barmen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101141769,Danzig,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101142072,Reinsberg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101145918,Thumitz,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101198566,Ovelgönne,Oldenburg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101216904,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101220944,Wien,Rom,Rom,Dresden,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101221657,Bogenhausen,Berka,Rom,Bamberg,München,Rom,.,.,.,.,.,.,.,.,.,.,.,.
101244371,Petersburg,St. Petersburg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101263279,Granzow,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101295294,Berlin,Stralsund,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101483694,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101660944,Basel,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101731566,Königsberg,Tilsit,Danzig,Bartenstein,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101930992,Schwerin,Orleans,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
102165874,Stuttgart,Rom,Rom,Grünberg,.,.,.,.,.,.,.,.,.,.,.,.,.,.
102179905,Bremen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
102211671,Wien,Hietzing,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
102439974,Altenburg,Dresden,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
102552185,Dresden,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
102634459,Zürich,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
102780242,Weimar,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
104060972,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
104063203,Basel,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
104089180,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
104139056,Frankfurt a. M.,Würzburg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
104139943,Bunzlau,Niesky,Barmen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
104234075,Mulda,Freiberg,Dresden,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
104265523,Regensburg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
104265663,Weimar,Weimar,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
104267003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
104330058,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
104352787,Frankfurt a. M.,Thale,Lössnitz,Salzwedel,Dresden-A.,Rom,Quedlinburg,Leipzig,Rom,Dresden,.,.,.,.,.,.,.,.
105334774,Berlin,Karlsbad,Schönberg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
105404624,Pinneberg,Altona,Bielefeld,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
105765791,Rom,Rom,Rom,Berlin,Rom,.,.,.,.,.,.,.,.,.,.,.,.,.
105838195,Rostock,Sternberg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
106257471,Eberswalde,Rom,Rom,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
107345617,Leipzig,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
107539217,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
107609460,Frankfurt a. M.,Stuttgart,Rom,Rom,.,.,.,.,.,.,.,.,.,.,.,.,.,.
