identifier,wohnort_1,wohnort_2,wohnort_3,wohnort_4,wohnort_5,wohnort_6,wohnort_7,wohnort_8,wohnort_9,wohnort_10,wohnort_11,wohnort_12,wohnort_13
unidentified00001,Stuttgart,,,,,,,,,,,,
unidentified00002,Wien,,,,,,,,,,,,
unidentified00003,Dresden,Lindau,Leipzig,,,,,,,,,,
unidentified00004,,,,,,,,,,,,,
unidentified00005,Mühlhausen,,,,,,,,,,,,
unidentified00006,Berlin,,,,,,,,,,,,
unidentified00007,,,,,,,,,,,,,
unidentified00008,Darmstadt,,,,,,,,,,,,
unidentified00009,Köln,Rheine,,,,,,,,,,,
unidentified00010,Wyndham Place,London,Landau,Offenbach,,,,,,,,,
unidentified00011,Würzburg,,,,,,,,,,,,
unidentified00012,Adenau,Köln,,,,,,,,,,,
unidentified00013,,,,,,,,,,,,,
unidentified00014,Berlin,,,,,,,,,,,,
unidentified00015,Hill,,,,,,,,,,,,
unidentified00016,,,,,,,,,,,,,
unidentified00017,Hannover,,,,,,,,,,,,
unidentified00018,Teplitz,Stedten,Weimar,,,,,,,,,,
unidentified00019,Melle,Hamburg,,,,,,,,,,,
unidentified00020,München,Weimar,,,,,,,,,,,
unidentified00021,Leipzig,,,,,,,,,,,,
unidentified00022,,,,,,,,,,,,,
unidentified00023,Erfurt,,,,,,,,,,,,
unidentified00024,,,,,,,,,,,,,
unidentified00025,Bregenz,,,,,,,,,,,,
unidentified00026,Berlin,,,,,,,,,,,,
unidentified00027,Dresden,,,,,,,,,,,,
unidentified00028,Leipzig,,,,,,,,,,,,
unidentified00029,Gera,,,,,,,,,,,,
unidentified00030,Darmstadt,Schleswig,,,,,,,,,,,
unidentified00031,Leipzig,,,,,,,,,,,,
unidentified00032,Hamburg,,,,,,,,,,,,
unidentified00033,Leipzig,,,,,,,,,,,,
unidentified00034,Basel,,,,,,,,,,,,
unidentified00035,Dresden,,,,,,,,,,,,
unidentified00036,Breslau,,,,,,,,,,,,
unidentified00037,,,,,,,,,,,,,
unidentified00038,Lindau,Oschatz,,,,,,,,,,,
unidentified00039,Nordhausen,,,,,,,,,,,,
unidentified00040,,,,,,,,,,,,,
unidentified00041,Frankfurt a. M.,München,Frankfurt a. M.,,,,,,,,,,
unidentified00042,Frankfurt a. M.,Frankfurt a. M.,,,,,,,,,,,
unidentified00043,,,,,,,,,,,,,
unidentified00044,München,,,,,,,,,,,,
unidentified00045,Rom,Karlsruhe,,,,,,,,,,,
unidentified00046,Bern,Rudolstadt,,,,,,,,,,,
unidentified00047,,,,,,,,,,,,,
unidentified00048,Rom,Iena,,,,,,,,,,,
unidentified00049,Dessau,Berlin,,,,,,,,,,,
unidentified00050,,,,,,,,,,,,,
unidentified00051,Kaiserslautern,,,,,,,,,,,,
unidentified00052,Berlin,,,,,,,,,,,,
unidentified00053,Lausanne,,,,,,,,,,,,
unidentified00054,,,,,,,,,,,,,
unidentified00055,München,Innsbruck,,,,,,,,,,,
unidentified00056,,,,,,,,,,,,,
unidentified00057,Stuttgart,,,,,,,,,,,,
unidentified00058,Dresden,,,,,,,,,,,,
unidentified00059,,,,,,,,,,,,,
unidentified00060,Stuttgart,,,,,,,,,,,,
unidentified00061,Dresden,,,,,,,,,,,,
unidentified00062,,,,,,,,,,,,,
unidentified00063,Stuttgart,,,,,,,,,,,,
unidentified00064,Dresden,,,,,,,,,,,,
unidentified00065,,,,,,,,,,,,,
unidentified00066,,,,,,,,,,,,,
unidentified00067,Neapel,Berlin,,,,,,,,,,,
unidentified00068,Berlin,,,,,,,,,,,,
unidentified00069,Charlottenburg,,,,,,,,,,,,
unidentified00070,,,,,,,,,,,,,
unidentified00071,Barmen,Charlottenburg,,,,,,,,,,,
unidentified00072,Neustettin,Schleswig,,,,,,,,,,,
unidentified00073,Stettin,,,,,,,,,,,,
unidentified00074,Mainz,,,,,,,,,,,,
unidentified00075,Zürich,,,,,,,,,,,,
unidentified00076,,,,,,,,,,,,,
unidentified00077,Wien,,,,,,,,,,,,
unidentified00078,,,,,,,,,,,,,
unidentified00079,Rom,Hamm,Stein,Wien,Graz,,,,,,,,
unidentified00080,Wien,Hietzing,,,,,,,,,,,
unidentified00081,,,,,,,,,,,,,
unidentified00082,Rom,Tarna,Erfurt,,,,,,,,,,
unidentified00083,,,,,,,,,,,,,
unidentified00084,Wien,,,,,,,,,,,,
unidentified00085,Dornach,Biberach,,,,,,,,,,,
unidentified00086,Neuschloss,Wien,,,,,,,,,,,
unidentified00087,Wien,,,,,,,,,,,,
unidentified00088,Dornach,Biberach,,,,,,,,,,,
unidentified00089,Neuschloss,Wien,,,,,,,,,,,
unidentified00090,Wien,,,,,,,,,,,,
unidentified00091,Dornach,Biberach,,,,,,,,,,,
unidentified00092,Neuschloss,Wien,,,,,,,,,,,
