GND,Biographie
1019321067,"wurde am 13/25. Aug. 1815 zu Tiegnitz bei Pernau in Livland geboren und stammt aus einer um die Mitte des 17. Iahrhunderts aus Brieg in Schlesien nach Kurland eingewanderten u. von dort teilweise nach Livland übergesiedelten Familie. Er besuchte seit 1829 das Gymnasium zu Dorpat, wo er im Hause des bekannten, literarisch begabten Universitätsrentmeisters Martin Asmus lebte, trat 1834 zur dortigen Universität über, an der er Medizin studierte, und wurde im Dezember 1840 zum Arzte erster Klasse kreiert. Darauf ging er ins Ausland, wo er das Iahr 1841 u. einen Teil des folgenden zubrachte, teils auf Reisen am Rhein, in Süddeutschland, der Schweiz und Oberitalien, teils mit Fortsetzung seiner Studien auf den Universitäten Wien, Würzburg u. Berlin beschäftigt. An letzterem Orte verlebte er den Winter mit dem baltischen Dichter Roman Baron Budberg (s. d.), der ihn dem Dichterkreis „Tunnel über der Spree“ zuführte. Im Frühling 1842 in die Heimat zurückgekehrt, gab er sich bald ganz der ärztlichen Praxis hin, wurde im Oktober Arzt des Kirchspiels Roop und 1846 als Stadtarzt in Wenden angestellt, welche Funktion er bis zu seinem Tode innehatte. Gesundheitsrücksichten nötigten ihn wiederholt, das Bad Reichenhall zu besuchen. Auf einer 1860 nach Deutschland unternommenen Reise lernte er in München Em. Geibel kennen, der sich über A.s Gedichte anerkennend äußerte u. somit die Herausgabe derselben veranlaßte. A. starb in Wenden am 17. (29. n. St.) April 1874. Gedichte, 1863. 2. A. 1873. – Poetischer Nachlaß, 1877."
124306829,"geb. am 23. März 1864 in Lemberg, kam schon im folgenden Iahre mit seinen Eltern nach Wien, besuchte hier mehrere Gymnasien, maturierte in Hernals und studierte darauf an der Wiener Universität Medizin. Früh auf eigene Füße gestellt, erwarb er sich als Student fast ausschließlich durch literarische Arbeiten seinen Unterhalt. Neben seiner ärztlichen Praxis, die er erst in Wien, dann in Weidlingen bei Wien u. seit 1904 in Baden bei Wien ausübt, redigiert er seit 1894 Witzblätter und belletristische Zeitschriften, vornehmlich die „Pschütt-Karikaturen“. Im Iahre 1900 erwarb er sich die Würde eines Allerlei und noch etwas (Humor. Ge.), 1894. – Bunter Kram (Gereimtes und Ungereimtes), 1896. – pata siècle Geschichten (Sk. u. En.), 1900. – Das Märchen vom Weibe (Sat.), 1900."
117762822,"* am 13. Febr. 1831 zu Czernowitz in der Bukowina, wuchs unter günstigen Verhältnissen auf und verließ schon 1846 die Heimat, um sich auf Wunsch seiner Eltern dem Handelsstande zu widmen. Hierbei vergaß er aber nicht, auch humanistische Studien zu pflegen, u. betätigte sich an der damals in Wien von Bäuerle redigierten „Theaterzeitung“. Später war er Mitarbeiter am „Wiener Modespiegel“. Im Iahre 1853 kehrte A. nach Czernowitz zurück, wo er 1858 seinen Hausstand gründete und später als Gemeinde-, Handelskammerund Turnrat fungierte, als Schriftsteller aber sein landund finanzwirtschaftliches Wissen der „Bukowina“, später der „Czernowitzer Zeitung“ zuwandte. Im Iahre 1872 siedelte er wieder nach Wien über, wo er die Redaktion des 1871 gegründeten Blattes „Der Zirkel“ übernahm, die er noch heute führt. Daneben leitete er auch durch acht Iahre die Redaktion der Wiener illustrierten Zeitschrift „Die Heimat“. Die verkaufte Leibrente (Lsp.), 1865. – Poetisches Gedenkbuch (Anthologie zur Feier der Inauguration der Universität Czernowitz ꝛc., mit L. A. Stauffe), 1875."
116684208,"bekannt auch unter ihrem Mädchennamen Lang Anton, Lemberg in Galizien als die Tochter eines Militäroberbeamten in österreichischen Diensten geboren und ging 1878 nach großen Kämpfen mit ihrer Familie zur Bühne, der sie aber trotz vieler Erfolge nur vier Iahre angehörte; denn 1882 verheiratete sie sich mit ren Chefredakteur der „Ostpreußischen Zeitung“, an dessen Seite sie seit mehreren Iahren zu Königsberg in den glücklichsten Verhältnissen lebt. Ihr Gatte, geb. am 8. Mai 1857 zu Borna bei Leipzig, hat sich ebenfalls als dramatischer Schriftsteller bekannt gemacht; er verfaßte die Lustspiele „Ein musikalisches Verhältnis“ (1887); „Streber“ (1888); „Die afrikanische Insel“ (1889); „Schaum“ (1892). Von Helene Anton erschienen Vom Herzen zum Herzen (Ge.), 1881. – Frauenlist (Schw.), 1892. – Gedankensünde (R.), 1896. – Das Ende vom Liede (R.), 1906. – Mördergewohnheit u. anderes, 1.–10. T. 1906."
1158842767,"wurde am 26. Oktober 1819 zu Lemberg geboren u. betätigte sich schon frühzeitig als Dichterin. Nach ihres Vaters Tode (1836) siedelte sie mit der Mutter nach Wien über, wo sie als Mitarbeiterin an vielen Iournalen tätig war, nebenbei Musik und Malerei pflegte und schließlich auch, veranlaßt durch eine schwere Krankheit, Medizin studierte. Sie starb in Wien Ende Dezbr. 1858. Lenzblätter (Ge.), 1835."
116518006,"pseud. 22. Novbr. (4. Dezbr. n. St.) 1817 zu Rakischi im Gouvernement Wilna geboren, wo sein Vater Verwalter der gräflich Platenschen Gärten war. Dieser starb 1822. Die Mutter heiratete dann den Kunstgärtner Gradcke, der in der Folge in Ruhenthal (Kurland) und Riga lebte. Hier besuchte der Sohn die Domschule, mußte aber nach dem Tode seines Stiefvaters 1834 dieselbe verlassen und trat 1835 als Lehrling in eine Apotheke in Riga ein. Nachdem er 1838 die Gehilfenprüfung an der Dorpater Universität bestanden, studierte er daselbst Pharmazie, betrieb aber daneben naturwissenschaftliche, sprachliche, geschichtliche u. philosophische Studien. Aus Mangel an Mitteln verließ er 1840 die Hochschule und nahm dann eine Hauslehrerstelle in Rosenhof (Kurland) an. Im Iahre 1843 ging er nach Berlin, sich dort eine feste Lebensstellung zu gründen. Er setzte hier neben schriftstellerischer Beschäftigung seine philosophischen Studien fort, schloß sich 1848 dem Berliner Freikorps an, um in Schleswig gegen die Dänen zu kämpfen, und widmete sich nach seiner Rückkehr den schon auf der Rigaer Domschule begonnenen paläographischen Studien, die ihn schließlich zur Begründung ein. neuen stenographischen Systems führten, das bereits 1899 in Deutschland von mehr als 100 Vereinen angenommen war. A. hat auf diesem Gebiete zahlreiche Schriften veröffentlicht. Er starb in Berlin am 22. Dezbr. 1882. Libussas Wahl, oder: Der würdigste Mann (Dr.), 1844. – Demosthenes, oder: Hellas’ Untergang (Tr.), 1848. – Eine Festgabe für Gemüt und Verstand (Ge.), 1878."
1044287187,"geb. am 12. (24. n. St.) Iuni 1843 zu Pernau in Livland, wurde in Dorpat erzogen u. besuchte das dortige Gymnasium. Von Iugend auf viel kränkelnd, so daß er oft Monate, ja Iahre ans Bett gefesselt war, konnte er erst 1865 zur Universität Dorpat übertreten, an der er bis 1874 Mathematik und Iurisprudenz studierte. Als graduierter Student (d. h. nach Erstehung der Staatsprüfung) wandte er sich nach Petersburg, wo er Mitarbeiter der beiden deutschen u. einiger ausländischen Zeitungen war, und folgte 1879 einem Rufe als Lehrer der deutschen Sprache und Literatur an das russische Alexander-Gymnasium in Riga, an dem er, nachdem er 1883 das Oberlehrerexamen für die genannten Fächer abgelegt hatte, bis 1895 wirkte. Dann trat er in den Ruhestand, starb aber bereits am 12. (24. n. St.) Dezember 1896 in Riga. Obwohl russischer Nationalität und griechisch-orthodoxen Glaubens, war er in Sprache u. Gesinnung ein Deutscher. Dichtungen von Puschkin u. Lermontoff (Übersetzgn.), 1877. – Gedichte, 1878. – Russischer Novellenschatz; (Russische Dn. i. deutscher Übertrgg.), 1894. – Schach-Humoresken, 1894."
119513439,"geb. am 27. Ianuar 1841 zu Altona in Holstein, widmete sich dem Buchhandel und gründete, äußerer Anregung folgend, zuerst eine Buchhandlung in Riga, welche im Dienste des Deutschtums und der evangelischen Kirche gegen die Vergewaltigungen der griechischen Kirche stand. Später war er Buchhändler in Eisenach, wo er einen pädagogischen Verlag gründete u. großherzoglich sächsischer Hofbuchhändler wurde, erwarb danach den „Anhalter Kurier“, ein Blatt, das sich unter seiner Redaktion eines stetig wachsenden Leserkreises erfreute, siedelte in der Folge nach Erfurt über und lebte seit 1896 in Wiesbaden, wo er den Verlag seines ältesten Sohnes Hans B. leitete, der außer seiner Verlagsbuchhandlung ein Kunstatelier besaß. Später siedelte er nach Zürich über, wo er 1903 die Firma „Bacmeisters Familienverlag“ gründete, die er seiner Tochter Helene zur Leitung überließ, während er selbst sich hinfort als volkswirtschaftlicher Schriftsteller u. als Herausgeber der Schriften seiner verstorbenen Gattin betätigte. Sang und Sage vom Kochbrunnen, hrsg., 1896. – Warum? Mensch und Buchhändler (Lebensaufzeichnungen), 1898."
138442762,"geb. 1825 in Raab, studierte Iura, beteiligte sich dann an der ungarischen Erhebung und war Adjutant Görgeis. Später studierte er Medizin u. ließ sich dann in Lemberg als Arzt nieder. Nachmals in Pest tätig, wurde er 1873 zum Professor der Pathologie und homöopathischen Therapie an der dortigen Universität ernannt. Lilien und Rosen (Ge.), 2. A. 1854."
1326954458,"wurde am 9. (21. n. St.) Ianuar 1857 zu Techelfer bei Dorpat geboren. Sein Vater war damals Generalbevollmächtigter der Baron Wulfschen Familie und Administrator der 5 Güter derselben u. übernahm 1862 das Gut Sauck bei Pernau in Erbpacht. Erwin besuchte das Gymnasium in Pernau u. studierte 1875–78 in Dorpat Geschichte u. slawische Sprachen und 1878–80 in Moskau russische Geschichte und Literatur. Nachdem er 1880 das Staatsexamen bestanden, trat er im August d. I. eine Stellung als Oberlehrer an der Ritterund Domschule in Reval an, wurde 1881 in Dorpat zum Kandidaten promoviert und legte gleichzeitig auch sein Oberlehrerexamen ab. Im Iahre 1883 wurde er Redakteur der „Revalschen Zeitung“ u. mit Beginn des Iahres 1884 neben seiner Stellung an dieser Zeitung auch Begründer u. Herausgeber der „Nordischen Rundschau“, verließ aber im Herbst 1885, um aus der Enge u. Kleinlichkeit der baltischen Verhältnisse herauszukommen u. einen weiteren Wirkungskreis zu suchen, die Heimat u. wandte sich nach Deutschland. Hier wurde er durch Vermittelung des Geheimrats Iulius von Eckardt einer der leitenden Redakteure des „Hamburger Korrespondenten“ und ging im September 1886 als Leiter des politischen Bureaus dieses Blattes nach Berlin, der er bis 1889 blieb. Im Oktober 1890 gründete er in Berlin die Zeitschrift „Das zwanzigste Iahrhundert“, siedelte bald darauf nach Iena und im Iuli 1891 nach Leipzig über, wo er die Chefredaktion des „Leipziger Tages-Anzeigers“ übernahm, aus dem er die „Neue Deutsche Zeitung“ schuf, die 1892 in seinen Besitz überging und die er im Ianuar 1894 freiwillig eingehen ließ, weil er der antisemitischen Partei nicht mehr durch dick und dünn folgen wollte. Dann gab er für einige Monate d. I. 1894 die Wochenschrift „Neuland“ heraus und lebte in der Folge als freier unabhängiger Schriftsteller in Leipzig, bis er 1900 nach Annaberg in Sachsen übersiedelte, wo er die Redaktion des dortigen „Wochenblattes“ übernahm u. am 9. Dezbr. 1901 starb. Außer einer Reihe politischer Broschüren (unter dem Pseud. keus aus dem Russischen veröffentlichte er Aus dem Zarenlande (N.), 1887. 2. A. 1890. – Der Sohn des Kommerzienrats (Drama), 1887. – Streifzüge durch die neuere russische Literatur, 1889. Neue Ausg. u. d. T.: Naturalismus, Nihilismus, Idealismus in der russischen Dichtung, 1896. – Einfache Geschichten (Nn.), 1891. – Caesar, aut nihil! 1893. Neue Ausg. u. d. T.: Um die Zarenkrone (Geschichtl. R.), 1901. – Das literarische Berlin (Sat. Briefe), 1893. – Der Selbstmord des Leutnants von Mergenthin (N.), 1896. – Der Übel größtes (Lsp.), 1896."
