Nachname,Vorname,Alternativ,GND
Adolphi,Alexis,.,1019321067
Altmann,Wilhelm,.,124306829
Amster,Moritz,.,117762822
Anton,Helene,.,116684208
Arbter,Emma Wanda von,.,1158842767
Arends,Leopold,.,116518006
Ascharin,Andreas,.,1044287187
Bacmeister,Johann,.,119513439
Bakody,Tivadar,.,138442762
Bauer,Erwin,.,1326954458
Baumbach,Eduard,.,116089075
Baumbach,Nicolai,.,118071750
Bergmann,Eugen Ernst,.,116132914
Bertels,Kurt,.,1032960728
Böttcher,Mathilde,.,116226099
Brinkmann,Max,.,1037718372
Budberg-Benninghausen,Roman Friedrich,.,116828781
Buss,Aurelie,.,unidentified001
Büttner,Hans,.,1050422937
Cambecq,Victor Ludwig,pseudonym von Aurelie von Hardenstein? ,1227439849
Claar,Emil,.,116524685
Claus,Karl,.,132734405X
Conradi,Johanna,.,1055113177
Corvin-Wiersbitzki,Otto Julius Bernhard von,.,118522310
Daudert,Ernst Wilhelm,.,1050460235
Dembitzki,Anton Leo,.,unidentified002
Denffer,August Karl Nicolai Eugen von,.,1213287766
Donnersberg,Edit,.,1055112596
Dräxler,Carl Ferdinand,.,100809766
Dreyersdorff,Alberta,.,123905792X
Du Feaux,Emmy,"Feaux, Emmy du",1050460677
Dukmeyer,Friedrich,.,116243708
Dulk,Albert Friedrich Benno,.,118869345
Eckardt,Guido Heinrich,.,1036990052
Eckers,Gustav,.,1050470745
Eltz,Hugo von,.,1193671655
Engelhardt-Schnellstein,Helene von,"Papst, Helene",11614730X
Erdberg,Robert von,.,119351439
Erdmann,Bruno Adam Julius Johann,.,1238483607
Flachs,Adolf,.,116586788
Franzius,Abraham Gottlieb Hermann,.,1037803639
Friede,Victor von,.,116791845
Friedenstein,Wilhelm,.,1152957317
Gaehtgens,Hermann,.,116333235
Gerbel,Nikolaj Vasilʹevič,.,12420239X
Girgensohn,Lotta,.,116647337
Glehn,Nikolai von,.,1025309391
Gleye,Maria Carlita,.,1038112206
Glitsch,Konstantin,.,116663952
Goldhammer,Karl Reinhold,.,1157480837
Grosewsky,Theodor Robert,.,1038240697
Grotthuss,Jeannot Emil von,.,116879017
Grube,Max,.,116879483
Grünstein,Leo,.,116893001
Grunwaldt,Eduard Gustav,.,1212021932
Guenther,Johannes von,.,11869894X
Günther,Viktor Leopold,.,122762252X
Gutfeldt,Ina,.,116931868
Haken,Alexander von,.,1202427057
Halpern,Max,.,116420871
Harnack,Otto,.,116483350
Hauff,Gustav,.,116523859
Haupt,Josef,.,116527935
Hausmann,Julie,.,136709680
Hildebrandt-Strehlen,Karl Theodor Heinrich,.,103081062
Hoerschelmann,Emilie von,.,116932821
Holm,Korfiz,.,118862944
Holm,Mia,.,116965355
Hülsen,Wilhelm,.,1055122257
Hunnius,Carl,.,117069698
Jaeger,Jacques,.,140283080
Jaksch,Elfriede,.,1089582196
Jannsen,Harry,.,117079669
Jessen,Ludwig von,.,101788665
Jung,Frieda,"Brauer, Frieda ",118558765
Kaden,Woldemar,.,116015683
Kegel,Franz,.,1057766305
Keller,Samuel,.,118721690
Keuchel,Gustav,.,1102221384
Kienitz,Oskar Carl Ernst,.,1157580815
Kotzebue,Wilhelm von,.,113665954
Kováts,Edgar,.,1018227644
Kraus,Eberhard,.,141208813
Kronfeld,E. M.,"Kronfeld, Moritz",116555211
Krüger,Herman Anders,.,11872472X
Kügelgen,Constantin von,"Kügelgen, Konstantin",116581999
Kügelgen,Heinrich von,.,1228123926
Külpe,Frances,.,116590823
Kyber,Manfred,.,11872567X
Laurenth,Julius,Laurenty,1157518834
Lingen,Thekla,.,117085278
Lochay-Buresch,Emanuel,.,unidentified004
Lortsch,Alfred,.,1202427081
Lortsch,Franziska,.,11367645X
Lucas,Auguste,.,1056134259
Lyra,Adolf Julius,Namensvariante: Laurenty,unidentified005
Mädler,Minna von,.,116656301
Malsch,Marie von,.,1158098952
Marholm,Laura,"Hansson, Laura ",118992996
Martinelli,Jeannot,.,1029309655
Masing,Adolf Wilhelm,.,1204184321
Meerscheidt-Hüllessem,Leonie von,.,116991364
Mehr,Adolf B.,.,unidentified006
Mendelssohn,Erich von,.,142986275
Mengden,Alexander,.,137020546
Merwart,Karl,.,1022870734
Meyer,Julius,.,129293393
Meyke,Nina,.,1049760239
Mickwitz,Christoph,.,140470239
Müller,Valeria von,"Kunda, Georg von ",1089932367
Nadler,Gustav Adolf,.,117209708
Neander,Theodor,.,13836480X
Norden,Julius,"Hasselblatt, Julius Gustav Andreas ",127781412
Nußbaum,Oswald Jsidor,.,unidentified007
Pantenius,Theodor Hermann,.,118973606
Paucker,Heinrich Johann von,.,1203066821
Pekelmann,Konrad,.,1329209869
Petrick,Alexander,.,116134100
Petrowitsch,Karl von,.,1158101309
Pistohlkors,Marie von,.,1036657981
Pokorny,Johann,"Pokorny, Hans",1019309229
Radetzky,Friedrich Robert von,.,unidentified008
