OrtsID,Ortsname,latlong,GeoNamesID
o001,Tiegnitz,NaN,NaN
o002,Cēsis,"57.3131712,25.2748551",460570
o003,Pernau,"58.3835136, 24.5081751",589580
o004,Dorpat,"58.3801207,26.72245",588335
o005,Wien,"48.2083537, 16.3725042",2761369
o006,Würzburg,"49.7933723, 9.9309779",2805615
o007,Berlin,"52.5170365, 13.3888599",2950159
o008,Wenden,"57.3131712,25.2748551",460570
o009,Bad Reichenhall,"47.7222676, 12.8760923",2953371
o010,Czernowitz,"48.2864702, 25.9376532",710719
o011,Bukowina,"51.2106913, 17.1404313",571096
o012,Lemberg,"49.0006115, 7.3788996",3196689
o013,Königsberg,"54.704648, 20.456567",2885916
o014,Borna,"51.1241649, 12.4999055",2459898
o015,Leipzig,"51.3406321, 12.3747329",2879139
o016,Rokiškis,"55.954025,25.591746",595213
o017,Riga,"56.9493977, 24.1051846",456172
o018,Schleswig,"54.51851, 9.5653284",2838632
o019,Ruhenthal,"56.4204921, 24.0099286",11352879
o020,Pärnu,"58.3835136,24.5081751",589580
o021,Petersburg,"59.938732, 30.316229",498817
o022,Győr,"47.687609,17.6346815",3052009
o023,Budapest,"47.4813896, 19.1460941",3054643
o024,Raab,"47.687609,17.6346815",3052009
o025,Annaberg,"50.3478604,17.0994955",2956005
o026,Jena,"50.9281717, 11.5879359",2895044
o027,Moskau,"55.7505412, 37.6174782",524901
o028,Reval,"59.4372155, 24.7453688",588409
o029,Schrunden,"56.6768396, 22.0156057",455520
o030,Mitau,"56.6514394, 23.7339143",459279
o031,Kronstadt,"45.6525105, 25.6105654",540771
o032,Sankt Petersburg,"59.938732, 30.316229",498817
o033,Smilten,"57.4243197, 25.9045413",455406
o034,Dohlen,NaN,NaN
o035,Kerkira,"39.591337,19.8596189",2463679
o036,Freiburg,"47.9960901, 7.8494005",2925177
o037,München,"48.1371079, 11.5753822",2867714
o038,Gumbinnen,"54.5921685, 22.2014752",557882
o039,Charlottenburg,"52.515747, 13.3096834",2940187
o040,Strandhof,"54.8266938, 9.4183572",455211
o041,Frankfurt am Main,"50.1106444, 8.6820917",2925533
o042,Graz,"47.0708678, 15.4382786",2778067
o043,Linz,"48.3059078, 14.286198",2772400
o044,Weimar,"50.9810486, 11.3296637",2812482
o045,Prag,"50.0874654, 14.4212535",3067696
o046,Innsbruck,"47.2654296, 11.3927685",2775220
o047,Frankfurt,"50.1106444, 8.6820917",2925533
o048,Kurland,NaN,460496
o049,Jakobsstadt,NaN,NaN
o050,Sellgallen,"54.9776885, 23.0456151",NaN
o051,Wiesbaden,"50.0820384, 8.2416556",2809346
o052,Potsdam,"52.4009309, 13.0591397",2852458
o053,Mainz,"50.0012314, 8.2762513",2874225
o054,Saarlouis,"49.3164661, 6.749846",2842632
o055,Baden,"48.1928371, 8.1390286",2825297
o056,Mannheim,"49.4892913, 8.4673098",2873891
o057,Rastadt,NaN,2788334
o058,Bruchsal,"49.124118, 8.5980244",2943560
o059,London,"51.5074456, -0.1277653",2643743
o060,Wertheim,"49.7599825, 9.5166598",2810716
