OrteAutorinID,GND,Ortsname,OrtsID
oa0001,1019321067,Tiegnitz,o001
oa0002,1019321067,Cēsis,o002
oa0003,1019321067,Pernau,o003
oa0004,1019321067,Dorpat,o004
oa0005,1019321067,Wien,o005
oa0006,1019321067,Würzburg,o006
oa0007,1019321067,Berlin,o007
oa0008,1019321067,Wenden,o008
oa0009,1019321067,Bad Reichenhall,o009
oa0010,1019321067,Wenden,o008
oa0011,124306829,Lemberg,o012
oa0012,124306829,Wien,o005
oa0013,124306829,Hernals,o331
oa0014,124306829,Weidlingen,o332
oa0015,124306829,Baden,o055
oa0016,117762822,Czernowitz,o010
oa0017,117762822,Wien,o005
oa0018,117762822,Bukowina,o011
oa0019,117762822,Wien,o005
oa0020,116684208,Lemberg,o012
oa0021,116684208,Königsberg,o013
oa0022,116684208,Borna,o014
oa0023,116684208,Leipzig,o015
oa0024,116684208,Lemberg,o012
oa0025,1158842767,Lemberg,o012
oa0026,1158842767,Wien,o005
oa0027,1158842767,Lemberg,o012
oa0028,1158842767,Wien,o005
oa0029,116518006,Rokiškis,o016
oa0030,116518006,Berlin,o007
oa0031,116518006,Riga,o017
oa0032,116518006,Berlin,o007
oa0033,116518006,Schleswig,o018
oa0034,116518006,Ruhenthal,o019
oa0035,1044287187,Pärnu,o020
oa0036,1044287187,Riga,o017
oa0037,1044287187,Petersburg,o021
oa0038,1044287187,Riga,o017
oa0039,1044287187,Dorpat,o004
oa0040,119513439,Altona,o095
oa0041,119513439,Riga,o017
oa0042,119513439,Eisenach,o333
oa0043,119513439,Erfurt,o334
oa0044,119513439,Wiesbaden,o051
oa0045,119513439,Zürich,o265
oa0046,138442762,Győr,o022
oa0047,138442762,Budapest,o023
oa0048,138442762,Lemberg,o012
oa0049,138442762,Raab,o024
oa0050,138442762,Budapest,o023
oa0051,1326954458,Dorpat,o004
oa0052,1326954458,Annaberg,o025
oa0053,1326954458,Berlin,o007
oa0054,1326954458,Jena,o026
oa0055,1326954458,Leipzig,o015
oa0056,1326954458,Dorpat,o004
oa0057,1326954458,Moskau,o027
oa0058,1326954458,Reval,o028
oa0059,116089075,Schrunden,o029
oa0060,116089075,Riga,o017
oa0061,116089075,Schrunden,o029
oa0062,116089075,Mitau,o030
oa0063,116089075,Dorpat,o004
oa0064,118071750,Schrunden,o029
oa0065,118071750,Schrunden,o029
oa0066,118071750,Dorpat,o004
oa0067,118071750,Kronstadt,o031
oa0068,118071750,Sankt Petersburg,o032
oa0069,116132914,Dorpat,o004
oa0070,116132914,Dorpat,o004
oa0071,116132914,Riga,o017
oa0072,116132914,Petersburg,o021
oa0073,116132914,Smilten,o033
oa0074,116132914,Dohlen,o034
oa0075,1032960728,Riga,o017
oa0076,1032960728,Kerkira,o035
oa0077,1032960728,Riga,o017
oa0078,1032960728,Freiburg,o036
oa0079,1032960728,München,o037
oa0080,116226099,Mitau,o030
oa0081,116226099,Riga,o017
oa0082,116226099,Öynhausen,o335
oa0083,116226099,Gastein,o336
oa0084,116226099,Dorpat,o004
oa0085,1037718372,Gumbinnen,o038
oa0086,1037718372,Gumbinnen,o038
oa0087,1037718372,Charlottenburg,o039
oa0088,116828781,Strandhof,o040
oa0089,116828781,Sankt Petersburg,o032
oa0090,116828781,Berlin,o007
oa0091,116828781,Reval,o028
oa0092,116828781,Dorpat,o004
oa0093,unidentified001,Mitau,o030
oa0094,unidentified001,Berlin,o007
oa0095,1050422937,Riga,o017
oa0096,1050422937,Goldingen,o080
oa0097,1050422937,Dorpat,o004
oa0098,1050422937,Marburg,o185
oa0099,1050422937,Leipzig,o015
oa0100,1050422937,Petersburg,o021
oa0101,1050422937,Reval,o028
oa0102,1227439849,Dorpat,o004
oa0103,1227439849,Kasan,o337
oa0104,1227439849,Kasan,o337
oa0105,116524685,Lemberg,o012
oa0106,116524685,Frankfurt am Main,o041
oa0107,116524685,Graz,o042
oa0108,116524685,Linz,o043
oa0109,116524685,Leipzig,o015
oa0110,116524685,Weimar,o044
oa0111,116524685,Lemberg,o012
oa0112,116524685,Wien,o005
oa0113,116524685,Prag,o045
oa0114,116524685,Innsbruck,o046
oa0115,116524685,Frankfurt,o047
oa0116,132734405X,Kurland,o048
oa0117,132734405X,Jakobsstadt,o049
oa0118,1055113177,Sellgallen,o050
oa0119,1055113177,Sellgallen,o050
oa0120,1055113177,Mitau,o030
oa0121,118522310,Gumbinnen,o038
oa0122,118522310,Wiesbaden,o051
oa0123,118522310,Gumbinnen,o038
oa0124,118522310,Potsdam,o052
oa0125,118522310,Berlin,o007
