SprachenID,Sprache,ISO 639-3
s001,Afrikaans,afr
s002,Altgriechisch,grc
s003,Altisländisch,
s004,Altkirchenslawisch,chu
s005,Altslawisch,chu
s006,Arabisch,ara
s007,Belarussisch,bel 
s008,Dänisch,dan
s009,Deutsch,deu
s010,Dialekt Niederpreußisch/ ostpreußisches Plattdeutsch,
s011,Englisch,eng
s012,Estnisch,est
s013,Französisch,fra
s014,Gotisch,got 
s015,Griechisch,grc
s016,Hebräisch,heb
s017,Holländisch,nld
s018,Isländisch,isl
s019,Italienisch,ita
s020,Jiddisch,yid 
s021,Latein,lat
s022,Lettisch,lav
s023,Litauisch,lit
s024,mehrsprachig,
s025,Neugriechisch,ell
s026,Niederländisch,nld
s027,Norwegisch,nor
s028,orientalische Sprache/n,
s029,Persisch,fas
s030,Plattdeusch,
s031,Polnisch,pol
s032,Portugiesisch,por
s033,provencalisch/okzitanisch,oci
s034,Rumänisch,ron
s035,Russisch,rus
s036,Sanskrit,san
s037,Schwedisch,swe
s038,Serbisch,srp
s039,Spanisch,spa
s040,Tschechisch,ces
s041,Ukrainisch,ukr
s042,Ungarisch,hun
