SprachAutorinID,GND,Nachname,Sprache,SprachenID,ISO 639-3
sa0001,1019321067,Adolphi,Latein,s020,lat
sa0002,1019321067,Adolphi,Deutsch,s009,deu
sa0003,124306829,Altmann,Latein,s020,lat
sa0004,124306829,Altmann,Deutsch,s009,deu
sa0005,1158842767,Arbter,Latein,s020,lat
sa0006,1158842767,Arbter,Deutsch,s009,deu
sa0007,116518006,Arends,Englisch,s010,eng
sa0008,116518006,Arends,Französisch,s012,fra
sa0009,116518006,Arends,Altgriechisch,s002,grc
sa0010,116518006,Arends,Hebräisch,s015,heb
sa0011,116518006,Arends,Latein,s020,lat
sa0012,116518006,Arends,Russisch,s034,rus
sa0013,116518006,Arends,Schwedisch,s036,swe
sa0014,116518006,Arends,Ungarisch,s041,hun
sa0015,116518006,Arends,Deutsch,s009,deu
sa0016,1044287187,Ascharin,Latein,s020,lat
sa0017,1044287187,Ascharin,Russisch,s034,rus
sa0018,1044287187,Ascharin,Deutsch,s009,deu
sa0019,138442762,Bakody,Latein,s020,lat
sa0020,138442762,Bakody,Ungarisch,s041,hun
sa0021,138442762,Bakody,Deutsch,s009,deu
sa0022,1326954458,Bauer,Russisch,s034,rus
sa0023,1326954458,Bauer,Deutsch,s009,deu
sa0024,118071750,Baumbach,Latein,s020,lat
sa0025,118071750,Baumbach,Deutsch,s009,deu
sa0026,116132914,Bergmann,Latein,s020,lat
sa0027,116132914,Bergmann,Deutsch,s009,deu
sa0028,116828781,Budberg-Benninghausen,Lettisch,s021,lav
sa0029,116828781,Budberg-Benninghausen,Litauisch,s022,lit
sa0030,116828781,Budberg-Benninghausen,Polnisch,s030,pol
sa0031,116828781,Budberg-Benninghausen,Russisch,s034,rus
sa0032,116828781,Budberg-Benninghausen,Schwedisch,s036,swe
sa0033,116828781,Budberg-Benninghausen,Deutsch,s009,deu
sa0034,1050422937,Büttner,Altgriechisch,s002,grc
sa0035,1050422937,Büttner,Hebräisch,s015,heb
sa0036,1050422937,Büttner,Latein,s020,lat
sa0037,1050422937,Büttner,Deutsch,s009,deu
sa0038,116524685,Claar,Französisch,s012,fra
sa0039,116524685,Claar,Deutsch,s009,deu
sa0040,132734405X,Claus,Altgriechisch,s002,grc
sa0041,132734405X,Claus,Hebräisch,s015,heb
sa0042,132734405X,Claus,Latein,s020,lat
sa0043,132734405X,Claus,Deutsch,s009,deu
sa0044,1055113177,Conradi,Französisch,s012,fra
sa0045,1055113177,Conradi,Deutsch,s009,deu
sa0046,118522310,Corvin-Wiersbitzki,Englisch,s010,eng
sa0047,118522310,Corvin-Wiersbitzki,Französisch,s012,fra
sa0048,118522310,Corvin-Wiersbitzki,Niederländisch,s025,nld
sa0049,118522310,Corvin-Wiersbitzki,Deutsch,s009,deu
sa0050,1050460235,Daudert,Dänisch,s008,dan
sa0051,1050460235,Daudert,Englisch,s010,eng
sa0052,1050460235,Daudert,Französisch,s012,fra
sa0053,1050460235,Daudert,Deutsch,s009,deu
sa0054,1055112596,Donnersberg/ Donnerberg,Russisch,s034,rus
sa0055,1055112596,Donnersberg/ Donnerberg,Deutsch,s009,deu
sa0056,100809766,Dräxler,Französisch,s012,fra
sa0057,100809766,Dräxler,Latein,s020,lat
sa0058,100809766,Dräxler,Polnisch,s030,pol
sa0059,100809766,Dräxler,Tschechisch,s039,ces
sa0060,100809766,Dräxler,Deutsch,s009,deu
sa0061,116243708,Dukmeyer,Altkirchenslawisch,s004,chu
sa0062,116243708,Dukmeyer,Französisch,s012,fra
sa0063,116243708,Dukmeyer,Gotisch,s013,got 
sa0064,116243708,Dukmeyer,Altgriechisch,s002,grc
sa0065,116243708,Dukmeyer,Persisch,s028,fas
sa0066,116243708,Dukmeyer,Latein,s020,lat
sa0067,116243708,Dukmeyer,Lettisch,s021,lav
sa0068,116243708,Dukmeyer,Litauisch,s022,lit
sa0069,116243708,Dukmeyer,orientalische Sprache/n,s027,
sa0070,116243708,Dukmeyer,Russisch,s034,rus
sa0071,116243708,Dukmeyer,Sanskrit,s035,san
sa0072,116243708,Dukmeyer,Deutsch,s009,deu
sa0073,118869345,Dulk,Arabisch,s006,ara
sa0074,118869345,Dulk,Latein,s020,lat
sa0075,118869345,Dulk,Deutsch,s009,deu
sa0076,1036990052,Eckardt,Afrikaans,s001,afr
sa0077,1036990052,Eckardt,Französisch,s012,fra
sa0078,1036990052,Eckardt,Latein,s020,lat
sa0079,1036990052,Eckardt,Deutsch,s009,deu
sa0080,1050470745,Eckers,Griechisch,s014,grc
sa0081,1050470745,Eckers,Hebräisch,s015,heb
sa0082,1050470745,Eckers,Latein,s020,lat
sa0083,1050470745,Eckers,Deutsch,s009,deu
sa0084,1193671655,Eltz,Latein,s020,lat
sa0085,1193671655,Eltz,Russisch,s034,rus
sa0086,1193671655,Eltz,Deutsch,s009,deu
sa0087,11614730X,Engelhardt-Schnellstein,Englisch,s010,eng
sa0088,11614730X,Engelhardt-Schnellstein,Französisch,s012,fra
sa0089,11614730X,Engelhardt-Schnellstein,Griechisch,s014,grc
sa0090,11614730X,Engelhardt-Schnellstein,Latein,s020,lat
sa0091,11614730X,Engelhardt-Schnellstein,Lettisch,s021,lav
sa0092,11614730X,Engelhardt-Schnellstein,Russisch,s034,rus
sa0093,11614730X,Engelhardt-Schnellstein,Deutsch,s009,deu
sa0094,1238483607,Erdmann,Latein,s020,lat
sa0095,1238483607,Erdmann,Deutsch,s009,deu
sa0096,116586788,Flachs,Französisch,s012,fra
sa0097,116586788,Flachs,Latein,s020,lat
sa0098,116586788,Flachs,Rumänisch,s033,ron
sa0099,116586788,Flachs,Deutsch,s009,deu
sa0100,1037803639,Franzius,Latein,s020,lat
sa0101,1037803639,Franzius,Deutsch,s009,deu
sa0102,1038112206,Gleye,Estnisch,s011,est
sa0103,1038112206,Gleye,Deutsch,s009,deu
sa0104,116663952,Glitsch,Latein,s020,lat
sa0105,116663952,Glitsch,Deutsch,s009,deu
sa0106,1157480837,Goldhammer,Latein,s020,lat
sa0107,1157480837,Goldhammer,Russisch,s034,rus
sa0108,1157480837,Goldhammer,Deutsch,s009,deu
sa0109,116879483,Grube,Englisch,s010,eng
sa0110,116879483,Grube,Französisch,s012,fra
sa0111,116879483,Grube,Deutsch,s009,deu
sa0112,116893001,Grünstein,Latein,s020,lat
sa0113,116893001,Grünstein,Polnisch,s030,pol
sa0114,116893001,Grünstein,Deutsch,s009,deu
sa0115,1212021932,Grunwaldt,Englisch,s010,eng
sa0116,1212021932,Grunwaldt,Russisch,s034,rus
sa0117,1212021932,Grunwaldt,Schwedisch,s036,swe
sa0118,1212021932,Grunwaldt,Deutsch,s009,deu
sa0119,11869894X,Guenther,Russisch,s034,rus
sa0120,11869894X,Guenther,Deutsch,s009,deu
