SprachenAutorinID,SprachenID,GND,Nachname,Sprache
spa0001,s00033,1019321067,Adolphi,Latein
spa0002,s00033,1158842767,Arbter,Latein
spa0003,s0008,116518006,Arends,Englisch
spa0004,s00029,116518006,Arends,Französisch
spa0005,s0009,116518006,Arends,Griechisch
spa0006,s00031,116518006,Arends,Hebräisch
spa0007,s00033,116518006,Arends,Latein
spa0008,s0007,116518006,Arends,Russisch
spa0009,s0005,116518006,Arends,Schwedisch
spa0010,s0003,116518006,Arends,Ungarisch
spa0011,s00033,1044287187,Ascharin,Latein
spa0012,s0007,1044287187,Ascharin,Russisch
spa0013,s00033,138442762,Bakody,Latein
spa0014,s0003,138442762,Bakody,Ungarisch
spa0015,s0007,1326954458,Bauer,Russisch
spa0016,s00033,118071750,Baumbach,Latein
spa0017,s00033,116132914,Baumbach,Latein
spa0018,s00028,116828781,Budberg-Benninghausen,Lettisch
spa0019,s0002,116828781,Budberg-Benninghausen,Litauisch
spa0020,s00011,116828781,Budberg-Benninghausen,Polnisch
spa0021,s0007,116828781,Budberg-Benninghausen,Russisch
spa0022,s0005,116828781,Budberg-Benninghausen,Schwedisch
spa0023,s00029,1055113177,Conradi,Französisch
spa0024,s0008,118522310,Corvin-Wiersbitzki,Englisch
spa0025,s00022,1050460235,Daudert,Dänisch
spa0026,s0008,1050460235,Daudert,Englisch
spa0027,s00029,1050460235,Daudert,Französisch
spa0028,s00024,100809766,Dräxler,Böhmisch/ Tschechisch
spa0029,s00029,100809766,Dräxler,Französisch
spa0030,s00033,100809766,Dräxler,Latein
spa0031,s00011,100809766,Dräxler,Polnisch
spa0032,s00033,116243708,Dukmeyer,Latein
spa0033,s00010,116243708,Dukmeyer,orientalische Sprache/n
spa0034,s00019,118869345,Dulk,Arabisch
spa0035,s00033,118869345,Dulk,Latein
spa0036,s0008,11614730X,Engelhardt-Schnellstein,Englisch
spa0037,s00029,11614730X,Engelhardt-Schnellstein,Französisch
