WerkID,Werk
w00001,"Gedichte, 1863. 2. A. 1873."
w00002,"Poetischer Nachlaß, 1877."
w00003,"Amy Die verkaufte Leibrente (Lsp.), 1865."
w00004,"Poetisches Gedenkbuch (Anthologie zur Feier der Inauguration der Universität Czernowitz ꝛc., mit L. A. Stauffe), 1875."
w00005,"Vom Herzen zum Herzen (Ge.), 1881."
w00006,"Frauenlist (Schw.), 1892."
w00007,"Gedankensünde (R.), 1896."
w00008,"Das Ende vom Liede (R.), 1906."
w00009,"Mördergewohnheit u. anderes, 1.-10. T. 1906."
w00010,"Lenzblätter (Ge.), 1835."
w00011,"Libussas Wahl, oder: Der würdigste Mann (Dr.), 1844."
w00012,"Demosthenes, oder: Hellas’ Untergang (Tr.), 1848."
w00013,"Eine Festgabe für Gemüt und Verstand (Ge.), 1878."
w00014,"II, 1882."
w00015,"Nordische Klänge Dichtungen von Puschkin u. Lermontoff (Übersetzgn.), 1877."
w00016,"Gedichte, 1878."
w00017,"Russischer Novellenschatz; (Russische Dn. i. deutscher Übertrgg.), 1894."
w00018,"Schach-Humoresken, 1894."
w00019,"Lilien und Rosen (Ge.), 2. A. 1854."
w00020,"Aut (Histor. R.); II, Aus dem Zarenlande (N.), 1887. 2. A. 1890."
w00021,"Der Sohn des Kommerzienrats (Drama), 1887."
w00022,"Streifzüge durch die neuere russische Literatur, 1889. Neue Ausg. u. d. T.: Naturalismus, Nihilismus, Idealismus in der russischen Dichtung, 1896."
w00023,"Einfache Geschichten (Nn.), 1891."
w00024,"Caesar, aut nihil! 1893. Neue Ausg. u. d. T.: Um die Zarenkrone (Geschichtl. R.), 1901."
w00025,"Das literarische Berlin (Sat. Briefe), 1893."
w00026,"Der Selbstmord des Leutnants von Mergenthin (N.), 1896."
w00027,"Der Übel größtes (Lsp.), 1896."
w00028,"Gedichte, 1849."
w00029,"Gedichte, 1854, 1870."
w00030,"Neue Gedichte, 1876."
w00031,"Mainachtgeister (N.), 1886."
w00032,"Frau Caritas (N.), 1906."
w00033,"Wend-Unmut (Ein Büchlein für alte u. junge Grillenfänger), 1908."
w00034,"Die klingende Seele, 1912."
w00035,"Der Morgenreiter (Ge.), 1905."
w00036,"Das Korps „Schlamponia“ (Studentengesch. in Reimen), 1899."
