WerkAutorinID,WerkID,GND,Werk
wa00001,w00001,1019321067,"Gedichte, 1863. 2. A. 1873."
wa00002,w00002,1019321067,"Poetischer Nachlaß, 1877."
wa00003,w00003,117762822,"Amy Die verkaufte Leibrente (Lsp.), 1865."
wa00004,w00004,117762822,"Poetisches Gedenkbuch (Anthologie zur Feier der Inauguration der Universität Czernowitz ꝛc., mit L. A. Stauffe), 1875."
wa00005,w00005,116684208,"Vom Herzen zum Herzen (Ge.), 1881."
wa00006,w00006,116684208,"Frauenlist (Schw.), 1892."
wa00007,w00007,116684208,"Gedankensünde (R.), 1896."
wa00008,w00008,116684208,"Das Ende vom Liede (R.), 1906."
wa00009,w00009,116684208,"Mördergewohnheit u. anderes, 1.-10. T. 1906."
wa00010,w00010,1158842767,"Lenzblätter (Ge.), 1835."
wa00011,w00011,116518006,"Libussas Wahl, oder: Der würdigste Mann (Dr.), 1844."
wa00012,w00012,116518006,"Demosthenes, oder: Hellas’ Untergang (Tr.), 1848."
wa00013,w00013,116518006,"Eine Festgabe für Gemüt und Verstand (Ge.), 1878."
wa00014,w00014,1044287187,"II, 1882."
wa00015,w00015,1044287187,"Nordische Klänge Dichtungen von Puschkin u. Lermontoff (Übersetzgn.), 1877."
wa00016,w00016,1044287187,"Gedichte, 1878."
wa00017,w00017,1044287187,"Russischer Novellenschatz; (Russische Dn. i. deutscher Übertrgg.), 1894."
wa00018,w00018,1044287187,"Schach-Humoresken, 1894."
wa00019,w00019,138442762,"Lilien und Rosen (Ge.), 2. A. 1854."
wa00020,w00020,1326954458,"Aut (Histor. R.); II, Aus dem Zarenlande (N.), 1887. 2. A. 1890."
wa00021,w00021,1326954458,"Der Sohn des Kommerzienrats (Drama), 1887."
wa00022,w00022,1326954458,"Streifzüge durch die neuere russische Literatur, 1889. Neue Ausg. u. d. T.: Naturalismus, Nihilismus, Idealismus in der russischen Dichtung, 1896."
wa00023,w00023,1326954458,"Einfache Geschichten (Nn.), 1891."
wa00024,w00024,1326954458,"Caesar, aut nihil! 1893. Neue Ausg. u. d. T.: Um die Zarenkrone (Geschichtl. R.), 1901."
wa00025,w00025,1326954458,"Das literarische Berlin (Sat. Briefe), 1893."
wa00026,w00026,1326954458,"Der Selbstmord des Leutnants von Mergenthin (N.), 1896."
wa00027,w00027,1326954458,"Der Übel größtes (Lsp.), 1896."
wa00028,w00028,116089075,"Gedichte, 1849."
wa00029,w00029,116089075,"Gedichte, 1854, 1870."
wa00030,w00030,116089075,"Neue Gedichte, 1876."
wa00031,w00031,116132914,"Mainachtgeister (N.), 1886."
wa00032,w00032,116132914,"Frau Caritas (N.), 1906."
wa00033,w00033,116132914,"Wend-Unmut (Ein Büchlein für alte u. junge Grillenfänger), 1908."
wa00034,w00034,116132914,"Die klingende Seele, 1912."
wa00035,w00035,1032960728,"Der Morgenreiter (Ge.), 1905."
