Name	GND
Aar Alexis	116000287
Aarau Friedrich	1073474623
Abbot Karoline	https://d-nb.info/gnd/126774552	https://d-nb.info/gnd/1157466060
Abeken Bernhard	https://d-nb.info/gnd/116001089	https://d-nb.info/gnd/116001097	https://d-nb.info/gnd/101796641	https://d-nb.info/gnd/116001100
Abel Clementine	https://d-nb.info/gnd/137537719	https://d-nb.info/gnd/1073364275	https://d-nb.info/gnd/1073468518
Abel Hans Karl	116001429
Abels Ludwig	116002263
Abraham-Rieve Katharina	1058458868
Abramczyk Roland	1035442957
d’Abrest Paul	1141932660
Abt Anton	171944569
Abt Hedwig	1035443260
Achilles Wilhelm	https://d-nb.info/gnd/1260592227	https://d-nb.info/gnd/120569935X
Achleitner Arthur	116005327
Achleitner Joseph	kein Eintrag von api gefunden
Achleitner Karl	116005327
Aeckerle Helene	127497145
Ackermann Ernst Wilhelm	138348375
Adam Ernst	https://d-nb.info/gnd/105040260X	https://d-nb.info/gnd/129511382
Adam Otto	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Adami Friedrich	https://d-nb.info/gnd/124096565	https://d-nb.info/gnd/116006927	https://d-nb.info/gnd/116006951
Adamus Franz	https://d-nb.info/gnd/1180072227	https://d-nb.info/gnd/1120045584	https://d-nb.info/gnd/12070885X
Adelaide Marie	https://d-nb.info/gnd/1189363631	https://d-nb.info/gnd/1055240187	https://d-nb.info/gnd/1055090975	https://d-nb.info/gnd/119233444	https://d-nb.info/gnd/10423086X
Adelbert Karl	https://d-nb.info/gnd/155591673	https://d-nb.info/gnd/1034738283
Adelmann von Adelmannsfelden Alfred	116007451
Adelmann Margareta	1057029416
Adelmi M	kein Eintrag von api gefunden
Adelt Leonhard	116007605
Adelt-Duc Mina	1138571814
Aderholdt August Eduard	173127940
Adler Friedrich	https://d-nb.info/gnd/118647016	https://d-nb.info/gnd/129234486	https://d-nb.info/gnd/174096836	https://d-nb.info/gnd/116008040
Adler Helene	https://d-nb.info/gnd/11646853X	https://d-nb.info/gnd/1154549925	https://d-nb.info/gnd/102341214
Adler Leopold	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Adler Max Albin	1035487586
Adler Moritz	https://d-nb.info/gnd/1073351580	https://d-nb.info/gnd/116008342
Adlersfeld-Ballestrem Eufemia	https://d-nb.info/gnd/116008512	https://d-nb.info/gnd/1238735339
Adliw O	kein Eintrag von api gefunden
Adolar	https://d-nb.info/gnd/1224193857	https://d-nb.info/gnd/116566485
