Name	GND
Aabel Marie	1295943549
Aarau Agnes	kein Eintrag von api gefunden
Abegg Eugenie	kein Eintrag von api gefunden
Abel Clementine	https://d-nb.info/gnd/137537719	https://d-nb.info/gnd/1073364275	https://d-nb.info/gnd/1073468518
Abele Marie	1192856465
Abell Lucie Elisabeth	kein Eintrag von api gefunden
Abenheim Albertine	kein Eintrag von api gefunden
Abrie W	170920577
Abt Hedwig	1035443260
Ackermann E	137578199
Adami Eva	128662115
Adams-Lehmann H. B	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Adele 	1294346105
Adelfels Marie	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Adeline 	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Adelma Elise	123847451
Adelmann Helene	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Adelmann Margaretha	1035485036
Adelmi Mario	1055113584
Adelung Sophie	116007664
Adenauer Maria	https://d-nb.info/gnd/120908611	https://d-nb.info/gnd/1152341243	https://d-nb.info/gnd/1160090440
Adinda Johs	kein Eintrag von api gefunden
Adler Emma	https://d-nb.info/gnd/1024322793	https://d-nb.info/gnd/121183548
Adler Helene	https://d-nb.info/gnd/11646853X	https://d-nb.info/gnd/1154549925	https://d-nb.info/gnd/102341214
Adlersfeld Eufemia	https://d-nb.info/gnd/116008512	https://d-nb.info/gnd/1238735339
Adolphine Tante	127627510
Adriani J	100572650
Agnes Tante	116145110
Ahlborn Luise	116009764
Ahlefeldt Henriette	https://d-nb.info/gnd/1053089651	https://d-nb.info/gnd/1035567520	https://d-nb.info/gnd/11601122X
Airoldy Emilie	1035571773
Akermann-Hasslacher Bertha	155409921
Alacoque Margaretha Maria	1255171529
Alberg Sophie	kein Eintrag von api gefunden
Albert Annie	https://d-nb.info/gnd/141289325	https://d-nb.info/gnd/1145466745
Albert C	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Alberti Marie	https://d-nb.info/gnd/105085828X	https://d-nb.info/gnd/1265595313	https://d-nb.info/gnd/116038047	https://d-nb.info/gnd/1194426115
Albertini Laura	116279109
Albrecht Sophie	https://d-nb.info/gnd/119021556X	https://d-nb.info/gnd/1307430899
Albrecht 	https://d-nb.info/gnd/14270654X	https://d-nb.info/gnd/1189840774
 Alexandra	https://d-nb.info/gnd/4300096-4	https://d-nb.info/gnd/1157907954	https://d-nb.info/gnd/1220721956	https://d-nb.info/gnd/113123930	https://d-nb.info/gnd/1190839881	https://d-nb.info/gnd/1235177475
Alfken Emilie	kein Eintrag von api gefunden
Alfred Th	125456389X
Alice Tante	116226099
Allan George	https://d-nb.info/gnd/1076742890	https://d-nb.info/gnd/173385621
Allesch Elly	117761249
Allestein Emma	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Almasy Wilhelmine	117337501
Almers Erna	117761354
Al Raschid Bey 	https://d-nb.info/gnd/118878484	https://d-nb.info/gnd/1089093543
Alrebi Bertha	kein Eintrag von api gefunden
Alt Helene	https://d-nb.info/gnd/1047261111	https://d-nb.info/gnd/1095576593
Alt Louise	https://d-nb.info/gnd/1017668108	https://d-nb.info/gnd/1266994270
Alten Hedwig	116293403
Althaber Wilhelmine	116294051
Althof Paul	https://d-nb.info/gnd/1164385046	https://d-nb.info/gnd/116299525
Altmann Elisabeth	116295279
Altmann Ida	139437754
Alt-Stutterheim Helene	1159116253
Amadei Anna	116296496
Amalie Amalie	https://d-nb.info/gnd/1306475813	https://d-nb.info/gnd/1300131799	https://d-nb.info/gnd/1286527384
Amalie Tante	https://d-nb.info/gnd/129161322	https://d-nb.info/gnd/1065065310	https://d-nb.info/gnd/1072703823
Amanda Tante	https://d-nb.info/gnd/115573704	https://d-nb.info/gnd/1190102463
Ambros Karoline	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Ambrosius Joh	1145766080
Amelung Franziska	kein Eintrag von api gefunden
Amelung Leopoldine	kein Eintrag von api gefunden
Amerlan Frieda	126307024
